Entity,Code,Year,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
Brazil,BRA,2000,6.2
Brazil,BRA,2005,7.0
Brazil,BRA,2010,7.6
Brazil,BRA,2015,8.5
Brazil,BRA,2020,9.7
Brazil,BRA,2022,10.3
China,CHN,2000,6.4
China,CHN,2005,6.6
China,CHN,2010,6.7
China,CHN,2015,7.4
China,CHN,2020,8.3
China,CHN,2022,8.9
India,IND,2000,2.8
India,IND,2005,2.4
India,IND,2010,2.2
India,IND,2015,2.2
India,IND,2020,2.5
India,IND,2022,2.8
Nigeria,NGA,2000,5.6
Nigeria,NGA,2005,5.6
Nigeria,NGA,2010,2.7
Nigeria,NGA,2015,2.4
Nigeria,NGA,2020,2.2
Nigeria,NGA,2022,2.2
United Kingdom,GBR,2000,6.9
United Kingdom,GBR,2005,7.7
United Kingdom,GBR,2010,9.1
United Kingdom,GBR,2015,10.5
United Kingdom,GBR,2020,11.2
United Kingdom,GBR,2022,11.3
United States,USA,2000,7.3
United States,USA,2005,8.0
United States,USA,2010,8.3
United States,USA,2015,8.4
United States,USA,2020,8.1
United States,USA,2022,7.9
World,OWID_WRL,1990,5.0
World,OWID_WRL,1995,4.9
World,OWID_WRL,2000,5.3
World,OWID_WRL,2005,5.6
World,OWID_WRL,2010,5.5
World,OWID_WRL,2015,5.5
World,OWID_WRL,2020,5.6
World,OWID_WRL,2022,5.6
