Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Australia,AUS,1950,44.541817
Australia,AUS,1960,35.45734
Australia,AUS,1970,34.597633
Australia,AUS,1980,12.725034
Australia,AUS,1990,8.235443
Australia,AUS,2000,8.837808
Australia,AUS,2010,5.1836357
Australia,AUS,2021,5.478284
Brazil,BRA,1980,36.936012
Brazil,BRA,1990,36.47968
Brazil,BRA,2000,25.872196
Brazil,BRA,2010,34.088142
Egypt,EGY,1970,105.81842
Egypt,EGY,1980,67.248184
Egypt,EGY,2000,27.769516
Egypt,EGY,2010,16.317356
France,FRA,1950,67.6216
France,FRA,1960,50.242615
France,FRA,1970,22.116928
France,FRA,1980,7.25677
France,FRA,1990,12.742633
France,FRA,2000,11.295957
France,FRA,2010,6.8187947
Hungary,HUN,1960,74.24072
Hungary,HUN,1970,31.25198
Hungary,HUN,1980,18.345419
Hungary,HUN,1990,9.351527
Hungary,HUN,2000,8.02576
Hungary,HUN,2010,5.2876773
Jordan,JOR,2010,10.572114
United States,USA,1950,34.47188
United States,USA,1960,36.81001
United States,USA,1970,28.867292
United States,USA,1980,18.076595
United States,USA,1990,20.203915
United States,USA,2000,12.952068
United States,USA,2010,8.600236
