Entity,Code,Year,Agricultural water withdrawal
Brazil,BRA,2010,44900000000.0
China,CHN,1980,391200000000.0
China,CHN,1990,415000000000.0
China,CHN,2000,378400000000.0
China,CHN,2010,388000000000.0
China,CHN,2015,385200000000.0
France,FRA,1990,4919000000.0
France,FRA,2000,4291000000.000001
France,FRA,2010,3143000000.0
India,IND,1980,411700000000.0
India,IND,1990,460000000000.0
India,IND,2000,558400000000.0
India,IND,2010,688000000000.0
United States,USA,1970,100100000000.0
United States,USA,1980,117100000000.0
United States,USA,1990,194700000000.0
United States,USA,2000,196500000000.0
United States,USA,2010,175100000000.0
