Entity,Code,Year,Poorest decile - Threshold,Richest decile - Threshold,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Belgium,BEL,2019,27.698778,93.1407,11510569.0,
Bolivia,BOL,2019,5.3281493,38.460224,11777318.0,
Botswana,BWA,2019,,,2499705.0,
Brazil,BRA,2019,3.4222765,42.498375,211782880.0,
Cameroon,CMR,2019,,,25782342.0,
Chile,CHL,2019,,,19039484.0,
China,CHN,2019,4.84,26.7,1421864064.0,
Colombia,COL,2019,3.035972,30.986998,50187404.0,
Costa Rica,CRI,2019,5.890174,54.427773,5084527.0,
Cote d'Ivoire,CIV,2019,,,26147544.0,
Czechia,CZE,2019,21.06594,62.467426,10536876.0,
East Timor,TLS,2019,,,1280442.0,
Egypt,EGY,2019,3.1586225,10.939462,105618672.0,
Eswatini,SWZ,2019,,,1169620.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,3.3672152,13.878078,918472.0,
France,FRA,2019,23.135792,90.88675,64399760.0,
Gambia,GMB,2019,,,2508882.0,
Guatemala,GTM,2019,,,17106338.0,
Hungary,HUN,2019,13.261575,43.843765,9771799.0,
India,IND,2019,2.0,8.8,1383112064.0,
Indonesia,IDN,2019,2.64,13.4,269582880.0,
Iran,IRN,2019,4.4896746,27.519196,86564208.0,
Italy,ITA,2019,17.259033,87.70242,59727936.0,
Kosovo,OWID_KOS,2019,,,1686856.0,
Malawi,MWI,2019,0.7415027,3.8145967,18867340.0,
Malaysia,MYS,2019,,,32804024.0,
Mexico,MEX,2019,,,125085312.0,
Moldova,MDA,2019,6.2174015,19.669775,3109496.0,
Mozambique,MOZ,2019,0.5020316,3.9760554,30285602.0,
Nicaragua,NIC,2019,,,6663919.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,34.47052,117.90513,5348285.0,
Oceania,,2019,,,43278474.0,
Poland,POL,2019,9.256153,34.28313,38493600.0,
Portugal,PRT,2019,13.900171,60.97158,10289921.0,
Russia,RUS,2019,8.71011,41.93673,145742288.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,3.5099654,16.4336,21649664.0,
Sudan,SDN,2019,,,43232092.0,
Togo,TGO,2019,,,8243093.0,
Turkey,TUR,2019,6.135094,43.774006,83481688.0,
Uganda,UGA,2019,1.1126479,6.417657,42949076.0,
Ukraine,UKR,2019,7.5533957,24.283648,44211100.0,
United States,USA,2019,23.742329,163.48279,334319680.0,
Zambia,ZMB,2019,,,18380478.0,
