Entity,Code,Year,Graphite production - kt
Brazil,BRA,1995,33590.0
Brazil,BRA,2000,71208.0
Brazil,BRA,2005,75515.0
Brazil,BRA,2010,92364.0
Brazil,BRA,2015,75100.0
Brazil,BRA,2020,95000.0
Brazil,BRA,2022,95000.0
Canada,CAN,1995,25000.0
Canada,CAN,2000,25000.0
Canada,CAN,2005,28000.0
Canada,CAN,2010,20000.0
Canada,CAN,2015,30000.0
Canada,CAN,2020,7620.0
Canada,CAN,2022,15000.0
China,CHN,1995,204000.0
China,CHN,2000,430000.0
China,CHN,2005,720000.0
China,CHN,2010,700000.0
China,CHN,2015,725000.0
China,CHN,2020,762000.0
China,CHN,2022,850000.0
India,IND,1995,136263.0
India,IND,2000,124790.0
India,IND,2005,125651.0
India,IND,2010,115697.0
India,IND,2015,134568.0
India,IND,2020,31799.0
India,IND,2022,57264.0
Madagascar,MDG,1995,16119.0
Madagascar,MDG,2000,40328.0
Madagascar,MDG,2005,6400.0
Madagascar,MDG,2010,3783.0
Madagascar,MDG,2015,8100.0
Madagascar,MDG,2020,48500.0
Madagascar,MDG,2022,88200.0
Mexico,MEX,1995,34386.0
Mexico,MEX,2000,30330.0
Mexico,MEX,2005,12357.0
Mexico,MEX,2010,6628.0
Mexico,MEX,2015,6524.0
Mexico,MEX,2020,1461.0
Mexico,MEX,2022,1726.0
Mozambique,MOZ,1995,3019.0
Mozambique,MOZ,2020,12000.0
Mozambique,MOZ,2022,163000.0
Norway,NOR,1995,2558.0
Norway,NOR,2000,8392.0
Norway,NOR,2005,9000.0
Norway,NOR,2010,6270.0
Norway,NOR,2015,9185.0
Norway,NOR,2020,5549.0
Norway,NOR,2022,10380.0
Russia,RUS,1995,13700.0
Russia,RUS,2000,20125.0
Russia,RUS,2005,14000.0
Russia,RUS,2010,7700.0
Russia,RUS,2015,15900.0
Russia,RUS,2020,12900.0
Russia,RUS,2022,14322.535
Sri Lanka,LKA,1995,4825.0
Sri Lanka,LKA,2000,5902.0
Sri Lanka,LKA,2005,4370.0
Sri Lanka,LKA,2010,3437.0
Sri Lanka,LKA,2015,4212.0
Sri Lanka,LKA,2020,4000.0
Sri Lanka,LKA,2022,3000.0
Turkey,TUR,1995,5000.0
Turkey,TUR,2000,0.0
Turkey,TUR,2005,0.0
Turkey,TUR,2010,0.0
Turkey,TUR,2015,0.0
Turkey,TUR,2020,15205.0
Turkey,TUR,2022,28336.0
Ukraine,UKR,1995,8757.0
Ukraine,UKR,2000,7431.0
Ukraine,UKR,2005,10400.0
Ukraine,UKR,2010,0.0
Ukraine,UKR,2015,7900.0
Ukraine,UKR,2020,4100.745
Ukraine,UKR,2022,3000.0
World,OWID_WRL,1995,587367.0
World,OWID_WRL,2000,836291.0
World,OWID_WRL,2005,1049028.0
World,OWID_WRL,2010,998283.0
World,OWID_WRL,2015,1072976.0
World,OWID_WRL,2020,1053644.8
World,OWID_WRL,2022,1391006.6
