Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate)
England,,1990,0.98
England,,1995,0.98
England,,2000,0.7
England,,2005,0.8
England,,2010,0.53
England,,2015,0.46
England,,2019,0.46
Italy,ITA,1990,2.73
Italy,ITA,1995,1.82
Italy,ITA,2000,1.37
Italy,ITA,2005,1.14
Italy,ITA,2010,0.96
Italy,ITA,2015,0.82
Italy,ITA,2019,0.81
Netherlands,NLD,1990,1.26
Netherlands,NLD,1995,1.46
Netherlands,NLD,2000,1.46
Netherlands,NLD,2005,1.29
Netherlands,NLD,2010,1.0
Netherlands,NLD,2015,0.78
Netherlands,NLD,2019,0.84
Sweden,SWE,1990,1.68
Sweden,SWE,1995,1.51
Sweden,SWE,2000,1.42
Sweden,SWE,2005,1.37
Sweden,SWE,2010,1.3
Sweden,SWE,2015,1.33
Sweden,SWE,2019,1.17
Switzerland,CHE,1990,1.68
Switzerland,CHE,1995,1.31
Switzerland,CHE,2000,1.11
Switzerland,CHE,2005,1.0
Switzerland,CHE,2010,0.7
Switzerland,CHE,2015,0.65
Switzerland,CHE,2019,0.62
