Entity,Code,Year,Harmonized Test Scores,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),World Region according to the World Bank
Algeria,DZA,2020,374.08908,10844.7705,43451668.0,
Argentina,ARG,2020,408.17264,19685.217,45036032.0,
Bahrain,BHR,2020,451.706,47847.84,1477478.0,
Bangladesh,BGD,2020,368.31528,5591.374,167420944.0,
Belarus,BLR,2020,488.1431,19225.574,9633745.0,
Brazil,BRA,2020,413.24475,14021.958,213196304.0,
Brunei,BRN,2020,437.51593,61603.55,441736.0,
Burkina Faso,BFA,2020,403.65433,2093.7336,21522632.0,
Burundi,BDI,2020,422.7478,711.3553,12220229.0,
Chad,TCD,2020,333.11133,1489.1868,16644707.0,
China,CHN,2020,441.0,16296.779,1424929792.0,
Democratic Republic of Congo,COD,2020,310.19714,1044.0712,92853168.0,
Egypt,EGY,2020,355.9865,11380.847,107465128.0,
Ethiopia,ETH,2020,348.19904,2253.2358,117190920.0,
France,FRA,2020,510.2606,42233.14,64480052.0,
Hong Kong,HKG,2020,548.6314,55888.688,7500955.0,
Iceland,ISL,2020,497.68277,52174.574,366682.0,
India,IND,2020,399.0,6114.0317,1396387072.0,
Indonesia,IDN,2020,394.9151,11515.74,271857984.0,
Iran,IRN,2020,432.10822,14432.362,87290192.0,
Iraq,IRQ,2020,363.4325,8919.798,42556988.0,
Israel,ISR,2020,480.7522,39351.895,8757487.0,
Italy,ITA,2020,492.98782,39065.28,59500576.0,
Japan,JPN,2020,537.72345,39935.465,125244760.0,
Jordan,JOR,2020,429.95407,9203.376,10928723.0,
Kenya,KEN,2020,454.9584,4498.383,51985780.0,
Kuwait,KWT,2020,383.40222,43922.63,4360451.0,
Luxembourg,LUX,2020,492.84784,111751.31,630401.0,
Madagascar,MDG,2020,350.77332,1436.2069,28225182.0,
Malaysia,MYS,2020,445.67532,25830.973,33199988.0,
Mauritius,MUS,2020,472.7672,20224.223,1297830.0,
Mexico,MEX,2020,430.06512,18327.99,125998296.0,
Mozambique,MOZ,2020,368.2436,1232.9856,31178242.0,
Nicaragua,NIC,2020,391.99045,5181.727,6755900.0,
Nigeria,NGA,2020,309.02496,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Oman,OMN,2020,423.51343,33098.21,4543406.0,
Pakistan,PAK,2020,338.65656,5004.352,227196736.0,
Panama,PAN,2020,376.8647,25510.273,4294391.0,
Peru,PER,2020,415.02542,11176.919,33304768.0,
Qatar,QAT,2020,427.47784,89019.07,2760390.0,
Russia,RUS,2020,497.54623,26583.797,145617328.0,
Saudi Arabia,SAU,2020,398.96893,42891.688,35997108.0,
Senegal,SEN,2020,412.45386,3383.8884,16436120.0,
Singapore,SGP,2020,575.27216,94505.63,5909874.0,
South Africa,ZAF,2020,342.76398,12815.909,58801928.0,
Sudan,SDN,2020,379.63367,3874.8003,44440484.0,
Tanzania,TZA,2020,388.48016,2551.2063,61704520.0,
Togo,TGO,2020,383.7178,2066.9707,8442583.0,
Turkey,TUR,2020,477.96265,28473.205,84135432.0,
Ukraine,UKR,2020,478.17334,12407.79,43909664.0,
United States,USA,2020,511.79868,60167.855,335942016.0,
Uzbekistan,UZB,2020,474.07513,7344.22,33526662.0,
Vietnam,VNM,2020,519.1003,10450.622,96648680.0,
Zambia,ZMB,2020,358.14044,3183.651,18927716.0,
