Entity,Code,Year,Combined - percentage of 25-64 years adults with incomplete tertiary education
Cambodia,KHM,2020,2.8
Cambodia,KHM,2040,8.7
Cambodia,KHM,2000,0.5
Cambodia,KHM,1870,0.0
Cambodia,KHM,1880,0.0
Cambodia,KHM,1900,0.0
Cambodia,KHM,1920,0.0
Cambodia,KHM,1940,0.0
Cambodia,KHM,1960,0.0
Cambodia,KHM,1980,0.3
Central African Republic,CAF,2020,1.4
Central African Republic,CAF,2040,1.5
Croatia,HRV,2020,24.2
Croatia,HRV,2040,38.6
Germany,DEU,2020,30.4
Germany,DEU,2040,59.1
Germany,DEU,2000,22.3
Germany,DEU,1870,0.3
Germany,DEU,1880,0.4
Germany,DEU,1900,0.8
Germany,DEU,1920,1.5
Germany,DEU,1940,2.7
Germany,DEU,1960,3.4
Germany,DEU,1980,9.3
Papua New Guinea,PNG,2020,1.4
Papua New Guinea,PNG,2040,2.0
Ukraine,UKR,2020,49.0
Ukraine,UKR,2040,65.0
United Kingdom,GBR,2020,31.1
United Kingdom,GBR,2040,34.5
United Kingdom,GBR,2000,24.8
United Kingdom,GBR,1870,0.2
United Kingdom,GBR,1880,0.3
United Kingdom,GBR,1900,0.5
United Kingdom,GBR,1920,1.0
United Kingdom,GBR,1940,1.4
United Kingdom,GBR,1960,1.8
United Kingdom,GBR,1980,11.1
United States,USA,2020,60.9
United States,USA,2040,61.9
United States,USA,2000,56.0
United States,USA,1870,0.9
United States,USA,1880,1.1
United States,USA,1900,3.8
United States,USA,1920,7.4
United States,USA,1940,11.6
United States,USA,1960,17.9
United States,USA,1980,35.8
