Entity,Code,Year,Tuberculosis patients living with HIV receiving ART - Disaggregation: Total
Brazil,BRA,2006,7792
Brazil,BRA,2008,7540
Brazil,BRA,2010,8575
Brazil,BRA,2012,9049
Brazil,BRA,2018,4313
Brazil,BRA,2020,3175
Brazil,BRA,2021,3551
Brazil,BRA,2003,8330
Brazil,BRA,2004,4874
Brazil,BRA,2016,3330
India,IND,2008,2487
India,IND,2010,23641
India,IND,2012,25790
India,IND,2014,39800
India,IND,2018,43154
India,IND,2020,28931
India,IND,2021,31935
India,IND,2016,39123
Kenya,KEN,2008,12426
Kenya,KEN,2010,19331
Kenya,KEN,2012,31691
Kenya,KEN,2014,26142
Kenya,KEN,2016,21784
Kenya,KEN,2020,17158
Kenya,KEN,2021,16996
Kenya,KEN,2006,15447
Kenya,KEN,2018,24186
Nigeria,NGA,2008,6889
Nigeria,NGA,2010,5902
Nigeria,NGA,2012,10866
Nigeria,NGA,2016,11934
Nigeria,NGA,2018,11032
Nigeria,NGA,2020,8849
Nigeria,NGA,2021,10782
Nigeria,NGA,2014,11997
South Africa,ZAF,2006,31040
South Africa,ZAF,2014,141755
South Africa,ZAF,2016,119213
South Africa,ZAF,2018,104625
South Africa,ZAF,2020,79902
South Africa,ZAF,2021,73117
South Africa,ZAF,2003,0
South Africa,ZAF,2004,3620
South Africa,ZAF,2008,22107
South Africa,ZAF,2010,69959
South Africa,ZAF,2012,101937
