Entity,Code,Year,New HIV Infections - Disaggregation: All ages estimate
Asia and the Pacific (UNAIDS),,1990,424494
Asia and the Pacific (UNAIDS),,1995,784133
Asia and the Pacific (UNAIDS),,2000,519143
Asia and the Pacific (UNAIDS),,2005,403021
Asia and the Pacific (UNAIDS),,2010,346273
Asia and the Pacific (UNAIDS),,2015,308525
Asia and the Pacific (UNAIDS),,2020,294953
Asia and the Pacific (UNAIDS),,2022,299158
Denmark,DNK,1990,354
Denmark,DNK,1995,329
Denmark,DNK,2000,243
Denmark,DNK,2005,211
Denmark,DNK,2010,217
Denmark,DNK,2015,185
Denmark,DNK,2020,114
Denmark,DNK,2022,80
Mozambique,MOZ,1990,39985
Mozambique,MOZ,1995,100543
Mozambique,MOZ,2000,158926
Mozambique,MOZ,2005,161047
Mozambique,MOZ,2010,163809
Mozambique,MOZ,2015,143588
Mozambique,MOZ,2020,129571
Mozambique,MOZ,2022,97230
Sudan,SDN,1990,1442
Sudan,SDN,1995,2292
Sudan,SDN,2000,2832
Sudan,SDN,2005,2800
Sudan,SDN,2010,2774
Sudan,SDN,2015,2809
Sudan,SDN,2020,3494
Sudan,SDN,2022,4263
