Entity,Code,Year,share_farms_under2ha_number,"GDP per capita, PPP (constant 2017 international $)",Continent
Albania,ALB,2005,,8041.5435,
Algeria,DZA,2005,,10566.373,
Austria,AUT,2005,,49387.027,
Bahamas,BHS,2005,,37665.387,
Brazil,BRA,2005,,12520.855,
Bulgaria,BGR,2005,,14782.738,
Burkina Faso,BFA,2005,,1477.0398,
Canada,CAN,2005,,44680.797,
Chile,CHL,2005,,18415.756,
China,CHN,2005,,5334.6465,
Cote d'Ivoire,CIV,2005,,3391.712,
Croatia,HRV,2005,,23797.303,
Cyprus,CYP,2005,,37730.066,
Czechia,CZE,2005,,30384.447,
Denmark,DNK,2005,,51483.273,
Dominica,DMA,2005,,10409.982,
Ecuador,ECU,2005,,9542.225,
Egypt,EGY,2005,,8019.8726,
Estonia,EST,2005,,26096.988,
Ethiopia,ETH,2005,,849.84766,
Fiji,FJI,2005,,10006.767,
Germany,DEU,2005,,43949.29,
Greece,GRC,2005,,34670.184,
Guatemala,GTM,2005,,6753.6826,
Guinea,GIN,2005,,1788.3896,
India,IND,2005,,3225.5444,
Iran,IRN,2005,,13328.956,
Italy,ITA,2005,,44260.83,
Jamaica,JAM,2005,,10151.977,
Japan,JPN,2005,,38250.637,
Kyrgyzstan,KGZ,2005,,3517.7205,
Laos,LAO,2005,,3522.2878,
Latvia,LVA,2005,,20331.7,
Lesotho,LSO,2005,,1988.3322,
Lithuania,LTU,2005,,21053.186,
Luxembourg,LUX,2005,,108632.36,
Malawi,MWI,2005,,1095.6558,
Mali,MLI,2005,45.28026786,1898.6237,
Malta,MLT,2005,,29035.654,
Morocco,MAR,2005,,4889.11,
Myanmar,MMR,2005,,1702.3097,
Namibia,NAM,2005,,7914.733,
Nepal,NPL,2005,,2230.789,
Nicaragua,NIC,2005,,4308.015,
Panama,PAN,2005,,16421.607,
Philippines,PHL,2005,,5058.0474,
Poland,POL,2005,,18844.557,
Portugal,PRT,2005,,31076.645,
Qatar,QAT,2005,,89448.05,
Romania,ROU,2005,,16866.492,
Saint Lucia,LCA,2005,,13345.372,
Samoa,WSM,2005,,5343.798,
Senegal,SEN,2005,,2787.5269,
South Korea,KOR,2005,,28640.707,
Spain,ESP,2005,,37942.008,
Switzerland,CHE,2005,,62040.44,
Togo,TGO,2005,,1546.144,
Turkey,TUR,2005,,18038.812,
Uganda,UGA,2005,,1475.8116,
