Entity,Code,Year,Swine / pigs | 00001034 || Stocks | 005111 || animals
Montenegro,MNE,2010,11205
Montenegro,MNE,2021,24182
Niue,NIU,1961,1200
Niue,NIU,1970,1500
Niue,NIU,1980,1300
Niue,NIU,1990,1661
Niue,NIU,2000,1800
Niue,NIU,2010,2093
Niue,NIU,2021,2280
Norway,NOR,1961,534100
Norway,NOR,1970,641746
Norway,NOR,1980,663600
Norway,NOR,1990,709700
Norway,NOR,2000,730390
Norway,NOR,2010,850383
Norway,NOR,2021,772688
Zambia,ZMB,1961,76000
Zambia,ZMB,1970,96000
Zambia,ZMB,1980,218465
Zambia,ZMB,1990,295000
Zambia,ZMB,2000,308872
Zambia,ZMB,2010,715000
Zambia,ZMB,2021,1286469
