Entity,Code,Year,Both sexes (number of deaths)
1-4 years,,1915,55570
1-4 years,,2015,459
10-14 years,,1915,8442
10-14 years,,2015,296
15-19 years,,1915,11193
15-19 years,,2015,830
20-24 years,,1915,12871
20-24 years,,2015,1348
25-29 years,,1915,13536
25-29 years,,2015,1719
30-34 years,,1915,15310
30-34 years,,2015,2372
35-39 years,,1915,18560
35-39 years,,2015,3336
40-44 years,,1915,20770
40-44 years,,2015,5247
45-49 years,,1915,24009
45-49 years,,2015,8428
5-9 years,,1915,14424
5-9 years,,2015,274
50-54 years,,1915,28093
50-54 years,,2015,12496
55-59 years,,1915,32173
55-59 years,,2015,16689
60-64 years,,1915,38486
60-64 years,,2015,24063
65-69 years,,1915,41827
65-69 years,,2015,37868
70-74 years,,1915,47619
70-74 years,,2015,47351
75-79 years,,1915,42010
75-79 years,,2015,64809
80+ years,,1915,47884
80+ years,,2015,300169
<1 year old,,1915,89380
<1 year old,,2015,2721
