Entity,Code,Year,Wheat | 00000015 || Production | 005510 || tonnes
Algeria,DZA,1961,685723.0
Algeria,DZA,1970,1434548.0
Algeria,DZA,1980,1511426.0
Algeria,DZA,1990,750080.0
Algeria,DZA,2000,760361.0
Algeria,DZA,2010,2605178.0
Algeria,DZA,2021,2168386.0
Malawi,MWI,1961,150.0
Malawi,MWI,1970,1814.0
Malawi,MWI,1980,500.0
Malawi,MWI,1990,1639.0
Malawi,MWI,2000,1815.0
Malawi,MWI,2010,2341.0
Malawi,MWI,2021,1000.0
Morocco,MAR,1961,720000.0
Morocco,MAR,1970,1800500.0
Morocco,MAR,1980,1811000.0
Morocco,MAR,1990,3613890.0
Morocco,MAR,2000,1380700.0
Morocco,MAR,2010,4876140.0
Morocco,MAR,2021,7543848.0
