Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages"
Lebanon,LBN,1990,1608.4641
Lebanon,LBN,1995,1897.9379
Lebanon,LBN,2000,2008.7424
Lebanon,LBN,2005,2418.6416
Lebanon,LBN,2010,3093.0698
Lebanon,LBN,2015,3407.4697
Lebanon,LBN,2019,3302.8838
Myanmar,MMR,1990,10479.168
Myanmar,MMR,1995,11688.233
Myanmar,MMR,2000,13254.445
Myanmar,MMR,2005,17675.613
Myanmar,MMR,2010,20849.586
Myanmar,MMR,2015,21552.318
Myanmar,MMR,2019,24169.268
Serbia,SRB,1990,9341.037
Serbia,SRB,1995,11470.298
Serbia,SRB,2000,12220.255
Serbia,SRB,2005,12920.745
Serbia,SRB,2010,12585.642
Serbia,SRB,2015,11297.013
Serbia,SRB,2019,10609.429
Syria,SYR,1990,6572.46
Syria,SYR,1995,7715.245
Syria,SYR,2000,7469.5884
Syria,SYR,2005,7563.3765
Syria,SYR,2010,9654.188
Syria,SYR,2015,10038.029
Syria,SYR,2019,10473.794
Yemen,YEM,1990,2141.8577
Yemen,YEM,1995,2608.6284
Yemen,YEM,2000,4228.421
Yemen,YEM,2005,5455.683
Yemen,YEM,2010,7378.8853
Yemen,YEM,2015,9747.491
Yemen,YEM,2019,11281.991
Zimbabwe,ZWE,1990,1268.216
Zimbabwe,ZWE,1995,1541.626
Zimbabwe,ZWE,2000,2041.1204
Zimbabwe,ZWE,2005,2239.5164
Zimbabwe,ZWE,2010,2397.7366
Zimbabwe,ZWE,2015,2784.9744
Zimbabwe,ZWE,2019,2607.0251
