Entity,Code,Year,indiv_libs_vdem_owid,indiv_libs_vdem_high_owid,indiv_libs_vdem_low_owid
Argentina,ARG,1789,0.094,0.157,0.054
Argentina,ARG,1850,0.251,0.364,0.172
Argentina,ARG,1900,0.528,0.632,0.421
Argentina,ARG,1950,0.655,0.753,0.554
Argentina,ARG,2000,0.835,0.89,0.757
Argentina,ARG,2022,0.836,0.886,0.76
Australia,AUS,1789,0.151,0.239,0.094
Australia,AUS,1850,0.751,0.826,0.651
Australia,AUS,1900,0.872,0.919,0.808
Australia,AUS,1950,0.968,0.984,0.945
Australia,AUS,2000,0.981,0.991,0.966
Australia,AUS,2022,0.96,0.98,0.93
Botswana,BWA,1900,0.289,0.372,0.195
Botswana,BWA,1950,0.353,0.464,0.265
Botswana,BWA,2000,0.91,0.944,0.854
Botswana,BWA,2022,0.832,0.89,0.751
China,CHN,1789,0.059,0.097,0.034
China,CHN,1850,0.059,0.097,0.034
China,CHN,1900,0.059,0.099,0.034
China,CHN,1950,0.052,0.086,0.029
China,CHN,2000,0.28,0.364,0.2
China,CHN,2022,0.225,0.299,0.152
