Entity,Code,Year,"Current number of cases of alcohol use disorders, in both sexes aged all ages"
Belarus,BLR,1990,288846.9
Belarus,BLR,1995,322115.66
Belarus,BLR,2000,337764.1
Belarus,BLR,2005,335902.03
Belarus,BLR,2010,321168.34
Belarus,BLR,2015,335724.38
Belarus,BLR,2019,313574.97
Cote d'Ivoire,CIV,1990,48412.17
Cote d'Ivoire,CIV,1995,60263.28
Cote d'Ivoire,CIV,2000,73479.82
Cote d'Ivoire,CIV,2005,84120.914
Cote d'Ivoire,CIV,2010,95026.35
Cote d'Ivoire,CIV,2015,104454.9
Cote d'Ivoire,CIV,2019,118199.945
Greece,GRC,1990,182299.69
Greece,GRC,1995,191967.02
Greece,GRC,2000,202924.78
Greece,GRC,2005,201990.44
Greece,GRC,2010,193952.84
Greece,GRC,2015,169464.34
Greece,GRC,2019,166560.03
Region of the Americas (WHO),,1990,17058462.0
Region of the Americas (WHO),,1995,17027150.0
Region of the Americas (WHO),,2000,18615622.0
Region of the Americas (WHO),,2005,19929830.0
Region of the Americas (WHO),,2010,21331890.0
Region of the Americas (WHO),,2015,22897400.0
Region of the Americas (WHO),,2019,23147310.0
Uzbekistan,UZB,1990,456636.44
Uzbekistan,UZB,1995,556891.7
Uzbekistan,UZB,2000,641764.25
Uzbekistan,UZB,2005,640575.3
Uzbekistan,UZB,2010,591620.56
Uzbekistan,UZB,2015,549541.7
Uzbekistan,UZB,2019,658789.3
