Entity,Code,Year,"Patent applications, residents"
Latvia,LVA,1995,210
Latvia,LVA,2000,98
Latvia,LVA,2005,112
Latvia,LVA,2010,178
Latvia,LVA,2015,136
Latvia,LVA,2020,93
Lesotho,LSO,1995,8
Slovakia,SVK,1995,269
Slovakia,SVK,2000,236
Slovakia,SVK,2005,155
Slovakia,SVK,2010,234
Slovakia,SVK,2015,228
Slovakia,SVK,2020,206
Sweden,SWE,1980,4106
Sweden,SWE,1985,3840
Sweden,SWE,1990,3108
Sweden,SWE,1995,3941
Sweden,SWE,2000,4224
Sweden,SWE,2005,2522
Sweden,SWE,2010,2196
Sweden,SWE,2015,2038
Sweden,SWE,2020,1764
Tajikistan,TJK,1995,35
Tajikistan,TJK,2000,45
Tajikistan,TJK,2005,30
Tajikistan,TJK,2010,7
