Entity,Code,Year,"2.c.1 - Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%) - AG_FPA_HMFP - Abnormal: High food prices","2.c.1 - Proportion of countries recording abnormally high or moderately high food prices, according to the Indicator of Food Price Anomalies (%) - AG_FPA_HMFP - Moderate: Moderately high food prices"
World,OWID_WRL,2011,7.3,13.1
World,OWID_WRL,2012,5.8,11.5
World,OWID_WRL,2013,6.3,11.0
World,OWID_WRL,2014,2.1,6.3
World,OWID_WRL,2015,10.5,12.0
World,OWID_WRL,2016,6.3,7.3
World,OWID_WRL,2017,6.3,9.4
World,OWID_WRL,2018,2.1,3.7
World,OWID_WRL,2019,6.8,11.5
World,OWID_WRL,2020,20.4,27.7
World,OWID_WRL,2021,8.4,13.1
