Entity,Code,Year,Tobacco | 00000826 || Production | 005510 || tonnes
Angola,AGO,1961,1308.0
Angola,AGO,1970,4120.0
Angola,AGO,1980,3000.0
Angola,AGO,1990,4000.0
Angola,AGO,2000,3300.0
Angola,AGO,2010,3099.37
Angola,AGO,2021,2850.79
Canada,CAN,1961,95127.0
Canada,CAN,1970,100635.0
Canada,CAN,1980,107868.0
Canada,CAN,1990,63057.0
Canada,CAN,2000,53010.0
Canada,CAN,2010,34903.59
Canada,CAN,2021,27776.34
Luxembourg,LUX,2021,0.0
Romania,ROU,1961,17800.0
Romania,ROU,1970,22516.0
Romania,ROU,1980,37300.0
Romania,ROU,1990,14200.0
Romania,ROU,2000,10869.0
Romania,ROU,2010,2971.0
Romania,ROU,2021,970.0
South Africa,ZAF,1961,26200.0
South Africa,ZAF,1970,34400.0
South Africa,ZAF,1980,34600.0
South Africa,ZAF,1990,27400.0
South Africa,ZAF,2000,29700.0
South Africa,ZAF,2010,12300.0
South Africa,ZAF,2021,11500.0
Western Asia (FAO),,1961,131714.0
Western Asia (FAO),,1970,188755.0
Western Asia (FAO),,1980,270334.0
Western Asia (FAO),,1990,328204.0
Western Asia (FAO),,2000,279941.03
Western Asia (FAO),,2010,115346.42
Western Asia (FAO),,2021,134889.89
