Entity,Code,Year,"Current number of cases of neoplasms per 100 people, in both sexes aged age-standardized"
Guam,GUM,1990,3.5953848
Guam,GUM,1995,3.6282005
Guam,GUM,2000,3.685764
Guam,GUM,2005,3.6667943
Guam,GUM,2010,3.6634822
Guam,GUM,2015,3.6851335
Guam,GUM,2019,3.6980062
Nepal,NPL,1990,1.6689233
Nepal,NPL,1995,1.6677588
Nepal,NPL,2000,1.6632788
Nepal,NPL,2005,1.4982206
Nepal,NPL,2010,1.6678047
Nepal,NPL,2015,1.7031558
Nepal,NPL,2019,2.0705214
Saint Kitts and Nevis,KNA,1990,5.6729546
Saint Kitts and Nevis,KNA,1995,5.6670146
Saint Kitts and Nevis,KNA,2000,5.6596713
Saint Kitts and Nevis,KNA,2005,5.681238
Saint Kitts and Nevis,KNA,2010,5.637307
Saint Kitts and Nevis,KNA,2015,5.6544304
Saint Kitts and Nevis,KNA,2019,5.8258233
United Kingdom,GBR,1990,6.775162
United Kingdom,GBR,1995,6.275422
United Kingdom,GBR,2000,6.281344
United Kingdom,GBR,2005,6.2008924
United Kingdom,GBR,2010,6.1377373
United Kingdom,GBR,2015,6.125289
United Kingdom,GBR,2019,6.233144
