Entity,Code,Year,"Deaths from cardiovascular diseases per 100,000 people in, both sexes aged all ages"
Albania,ALB,2000,251.79832
Albania,ALB,2010,228.76532
Colombia,COL,1960,105.77971
Colombia,COL,1990,138.65689
Colombia,COL,2000,130.22469
Colombia,COL,2010,131.34554
Czechia,CZE,1990,698.61426
Czechia,CZE,2000,566.48315
Czechia,CZE,2010,509.54398
Czechia,CZE,2021,455.89642
Guadeloupe,GLP,2000,185.5226
Guadeloupe,GLP,2010,192.08464
Paraguay,PRY,2000,83.10789
Paraguay,PRY,2010,117.87734
Portugal,PRT,1960,315.01562
Portugal,PRT,1970,384.09726
Portugal,PRT,1980,411.32965
Portugal,PRT,1990,456.02527
Portugal,PRT,2000,398.39075
Portugal,PRT,2010,319.49002
Slovenia,SVN,1990,439.52197
Slovenia,SVN,2000,379.52103
Slovenia,SVN,2010,357.7387
Syria,SYR,2000,167.06631
Syria,SYR,2010,158.12735
United States,USA,1950,494.4176
United States,USA,1960,515.0672
United States,USA,1970,501.53766
United States,USA,1980,437.20917
United States,USA,1990,370.00754
United States,USA,2000,334.5596
United States,USA,2010,253.93361
