Entity,Code,Year,"Death rate per 100,000 people - Cause: Amphetamine use disorders - Sex: Both sexes - Age group: ALLAges"
Portugal,PRT,2000,0.01
Portugal,PRT,2005,0.03
Portugal,PRT,2010,0.04
Portugal,PRT,2015,0.04
Portugal,PRT,2019,0.04
Russia,RUS,2000,0.27
Russia,RUS,2005,0.35
Russia,RUS,2010,0.26
Russia,RUS,2015,0.23
Russia,RUS,2019,0.2
United Arab Emirates,ARE,2000,0.03
United Arab Emirates,ARE,2005,0.03
United Arab Emirates,ARE,2010,0.03
United Arab Emirates,ARE,2015,0.03
United Arab Emirates,ARE,2019,0.03
United Kingdom,GBR,2000,0.08
United Kingdom,GBR,2005,0.13
United Kingdom,GBR,2010,0.17
United Kingdom,GBR,2015,0.2
United Kingdom,GBR,2019,0.17
United States,USA,2000,0.19
United States,USA,2005,0.35
United States,USA,2010,0.46
United States,USA,2015,0.64
United States,USA,2019,0.58
