Entity,Code,Year,"Domestic private health expenditure per capita, PPP (current international $)"
Canada,CAN,2000,659.5982
Canada,CAN,2005,887.24384
Canada,CAN,2010,1285.846
Canada,CAN,2015,1395.5889
Canada,CAN,2019,1646.9498
India,IND,2000,65.94022
India,IND,2005,89.18781
India,IND,2010,102.93463
India,IND,2015,144.71684
India,IND,2019,140.05841
South Africa,ZAF,2000,395.32886
South Africa,ZAF,2005,362.98416
South Africa,ZAF,2010,416.7689
South Africa,ZAF,2015,455.1219
South Africa,ZAF,2019,476.55215
South Korea,KOR,2000,356.11646
South Korea,KOR,2005,494.2546
South Korea,KOR,2010,763.8419
South Korea,KOR,2015,1079.3553
South Korea,KOR,2019,1425.1337
Sweden,SWE,2000,337.45197
Sweden,SWE,2005,495.24338
Sweden,SWE,2010,618.10376
Sweden,SWE,2015,855.42487
Sweden,SWE,2019,940.5761
United Kingdom,GBR,2000,443.27023
United Kingdom,GBR,2005,516.5188
United Kingdom,GBR,2010,642.6658
United Kingdom,GBR,2015,845.533
United Kingdom,GBR,2019,1043.7825
United States,USA,2000,2526.4329
United States,USA,2005,3524.671
United States,USA,2010,4033.856
United States,USA,2015,4587.774
United States,USA,2019,5368.412
