Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound of the annual temperature anomaly (95% confidence interval),Lower bound of the annual temperature anomaly (95% confidence interval)
Global,,1850,-0.4177114,-0.2461663,-0.58925647
Global,,1860,-0.39016518,-0.24135375,-0.5389766
Global,,1880,-0.31583205,-0.19151321,-0.44015092
Global,,1900,-0.2344939,-0.1025179,-0.3664699
Global,,1920,-0.29835507,-0.16562946,-0.4310807
Global,,1940,0.07593582,0.19382133,-0.041949686
Global,,1960,-0.11545958,-0.056781605,-0.17413756
Global,,1961,-0.019999769,0.030780297,-0.07077983
Global,,1980,0.19607204,0.2293401,0.16280398
Global,,1990,0.36058238,0.39659604,0.32456872
Global,,2000,0.33108476,0.36394167,0.29822785
Global,,2024,1.1497457,1.4028671,0.89662427
