Entity,Code,Year,Prevalence of undernourishment (% of population)
Afghanistan,AFG,2001,47.8
Afghanistan,AFG,2005,36.1
Afghanistan,AFG,2010,21.2
Afghanistan,AFG,2015,21.5
Afghanistan,AFG,2020,29.8
Austria,AUT,2001,2.5
Austria,AUT,2005,2.5
Austria,AUT,2010,2.5
Austria,AUT,2015,2.5
Austria,AUT,2020,2.5
Belarus,BLR,2001,2.5
Belarus,BLR,2005,2.5
Belarus,BLR,2010,2.5
Belarus,BLR,2015,2.5
Belarus,BLR,2020,2.5
Belgium,BEL,2001,2.5
Belgium,BEL,2005,2.5
Belgium,BEL,2010,2.5
Belgium,BEL,2015,2.5
Belgium,BEL,2020,2.5
Cyprus,CYP,2001,5.1
Cyprus,CYP,2005,7.6
Cyprus,CYP,2010,3.0
Cyprus,CYP,2015,2.5
Cyprus,CYP,2020,2.5
Czechia,CZE,2001,2.5
Czechia,CZE,2005,2.5
Czechia,CZE,2010,2.5
Czechia,CZE,2015,2.5
Czechia,CZE,2020,2.5
Italy,ITA,2001,2.5
Italy,ITA,2005,2.5
Italy,ITA,2010,2.5
Italy,ITA,2015,2.5
Italy,ITA,2020,2.5
World,OWID_WRL,2001,13.1
World,OWID_WRL,2005,12.3
World,OWID_WRL,2010,8.6
World,OWID_WRL,2015,8.0
World,OWID_WRL,2020,9.3
