Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: intrastate
Central African Republic,CAF,1989,0
Central African Republic,CAF,1995,0
Central African Republic,CAF,2000,0
Central African Republic,CAF,2005,0
Central African Republic,CAF,2010,47
Central African Republic,CAF,2015,22
Central African Republic,CAF,2020,52
Central African Republic,CAF,2022,665
Denmark,DNK,1989,0
Denmark,DNK,1995,0
Denmark,DNK,2000,0
Denmark,DNK,2005,0
Denmark,DNK,2010,0
Denmark,DNK,2015,0
Denmark,DNK,2020,0
Denmark,DNK,2022,0
Honduras,HND,1989,0
Honduras,HND,1995,0
Honduras,HND,2000,0
Honduras,HND,2005,0
Honduras,HND,2010,0
Honduras,HND,2015,0
Honduras,HND,2020,0
Honduras,HND,2022,0
Peru,PER,1989,1827
Peru,PER,1995,178
Peru,PER,2000,0
Peru,PER,2005,0
Peru,PER,2010,28
Peru,PER,2015,0
Peru,PER,2020,5
Peru,PER,2022,0
Tanzania,TZA,1989,0
Tanzania,TZA,1995,0
Tanzania,TZA,2000,130
Tanzania,TZA,2005,0
Tanzania,TZA,2010,0
Tanzania,TZA,2015,0
Tanzania,TZA,2020,25
Tanzania,TZA,2022,0
Uruguay,URY,1989,0
Uruguay,URY,1995,0
Uruguay,URY,2000,0
Uruguay,URY,2005,0
Uruguay,URY,2010,0
Uruguay,URY,2015,0
Uruguay,URY,2020,0
Uruguay,URY,2022,0
