Entity,Code,Year,"Current number of cases of latent tuberculosis infection per 100 people, in both sexes aged all ages"
Albania,ALB,1990,32.291336
Albania,ALB,1995,28.048586
Albania,ALB,2000,26.268877
Albania,ALB,2005,23.48742
Albania,ALB,2010,20.449594
Albania,ALB,2015,18.255207
Albania,ALB,2019,16.584764
Chile,CHL,1990,25.24504
Chile,CHL,1995,23.04973
Chile,CHL,2000,20.928356
Chile,CHL,2005,19.209574
Chile,CHL,2010,17.545353
Chile,CHL,2015,15.887741
Chile,CHL,2019,14.979692
Djibouti,DJI,1990,35.14444
Djibouti,DJI,1995,36.665707
Djibouti,DJI,2000,34.100513
Djibouti,DJI,2005,29.808983
Djibouti,DJI,2010,25.325298
Djibouti,DJI,2015,20.585262
Djibouti,DJI,2019,17.306543
Eswatini,SWZ,1990,34.0414
Eswatini,SWZ,1995,32.519382
Eswatini,SWZ,2000,32.44692
Eswatini,SWZ,2005,32.09381
Eswatini,SWZ,2010,29.491076
Eswatini,SWZ,2015,25.249563
Eswatini,SWZ,2019,22.850332
High Income (WB),,1990,19.589512
High Income (WB),,1995,18.23991
High Income (WB),,2000,16.8921
High Income (WB),,2005,15.176292
High Income (WB),,2010,14.068431
High Income (WB),,2015,12.840907
High Income (WB),,2019,12.180756
Maldives,MDV,1990,27.928648
Maldives,MDV,1995,26.863491
Maldives,MDV,2000,25.591518
Maldives,MDV,2005,24.932688
Maldives,MDV,2010,22.471941
Maldives,MDV,2015,22.657461
Maldives,MDV,2019,23.349712
