Entity,Code,Year,"Current number of cases of cysticercosis per 100,000 people, in both sexes aged age-standardized"
East Asia & Pacific (WB),,1990,34.858536
East Asia & Pacific (WB),,1995,45.490337
East Asia & Pacific (WB),,2000,40.44082
East Asia & Pacific (WB),,2005,38.197693
East Asia & Pacific (WB),,2010,34.189026
East Asia & Pacific (WB),,2015,29.088648
East Asia & Pacific (WB),,2019,27.81599
Europe & Central Asia (WB),,1990,43.793663
Europe & Central Asia (WB),,1995,41.13672
Europe & Central Asia (WB),,2000,39.357033
Europe & Central Asia (WB),,2005,37.853806
Europe & Central Asia (WB),,2010,36.456875
Europe & Central Asia (WB),,2015,34.792618
Europe & Central Asia (WB),,2019,34.91334
Latin America & Caribbean (WB),,1990,199.53963
Latin America & Caribbean (WB),,1995,182.49902
Latin America & Caribbean (WB),,2000,167.1987
Latin America & Caribbean (WB),,2005,157.56386
Latin America & Caribbean (WB),,2010,150.62383
Latin America & Caribbean (WB),,2015,155.46297
Latin America & Caribbean (WB),,2019,158.98708
Middle East & North Africa (WB),,1990,3.3535047
Middle East & North Africa (WB),,1995,3.2875984
Middle East & North Africa (WB),,2000,3.337468
Middle East & North Africa (WB),,2005,3.2449348
Middle East & North Africa (WB),,2010,3.0746138
Middle East & North Africa (WB),,2015,2.8932142
Middle East & North Africa (WB),,2019,2.778818
North America (WB),,1990,80.65185
North America (WB),,1995,73.35883
North America (WB),,2000,82.44926
North America (WB),,2005,85.69624
North America (WB),,2010,89.65339
North America (WB),,2015,82.8165
North America (WB),,2019,69.31211
South Asia (WB),,1990,108.21026
South Asia (WB),,1995,107.13488
South Asia (WB),,2000,95.49586
South Asia (WB),,2005,92.836075
South Asia (WB),,2010,94.45405
South Asia (WB),,2015,89.03637
South Asia (WB),,2019,85.85513
Sub-Saharan Africa (WB),,1990,155.1542
Sub-Saharan Africa (WB),,1995,153.64262
Sub-Saharan Africa (WB),,2000,158.4285
Sub-Saharan Africa (WB),,2005,141.23917
Sub-Saharan Africa (WB),,2010,128.11765
Sub-Saharan Africa (WB),,2015,114.62124
Sub-Saharan Africa (WB),,2019,112.72832
