Entity,Code,Year,Augmented Human Development Index (AHDI),814486-annotations,Augmented Human Development Index (AHDI) (excluding the income dimension),814487-annotations,Population (historical estimates),Continent
Africa,,2020,,,,,1360677453.0,
Argentina,ARG,2020,0.5808542,,0.5380045,,45036032.0,
Asia,,2020,,,,,4663086623.0,
China,CHN,2020,0.2572684,,0.18048346,,1424929792.0,
Cyprus,CYP,2020,0.7145927,,0.6853622,,1237540.0,
Ethiopia,ETH,2020,0.20608407,,0.15997472,,117190920.0,
Europe,,2020,,,,,747462669.0,
Greece,GRC,2020,0.662595,,0.6311786,,10512232.0,
India,IND,2020,0.35353443,,0.29107156,,1396387072.0,
Indonesia,IDN,2020,0.42196304,,0.35917,,271857984.0,
Italy,ITA,2020,0.6947239,,0.65348536,,59500576.0,
Japan,JPN,2020,0.85673577,,0.8473013,,125244760.0,
Madagascar,MDG,2020,0.23945251,,0.22189406,,28225182.0,
Mongolia,MNG,2020,0.45135608,,0.42124197,,3294340.0,
Nigeria,NGA,2020,0.2915622,,0.24704114,,208327408.0,
North America,,2020,,,,,594263186.0,
Oceania,,2020,,,,,43933757.0,
Peru,PER,2020,0.52734023,,0.486346,,33304768.0,
Philippines,PHL,2020,0.3870563,,0.33376896,,112190984.0,
Poland,POL,2020,0.61903965,,0.5662734,,38428368.0,
South Africa,ZAF,2020,0.48208484,,0.44221795,,58801928.0,
South America,,2020,,,,,431530105.0,
South Korea,KOR,2020,0.8157913,,0.78513134,,51844688.0,
Turkey,TUR,2020,0.33346605,,0.25303188,,84135432.0,
United States,USA,2020,0.74961233,,0.6940095,,335942016.0,
Yemen,YEM,2020,0.14160517,,0.095198415,,32284044.0,
