Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Share of children who are stunted,Population (historical estimates),Continent
Afghanistan,AFG,2021,5.565748,,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,2.2335286,,44177964.0,
Argentina,ARG,2021,0.69181985,,45276788.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2021,2.727363,,169356240.0,
Bolivia,BOL,2021,2.469194,,12079474.0,
Burundi,BDI,2021,5.260476,,12551215.0,
Cameroon,CMR,2021,6.9788027,,27198632.0,
Central African Republic,CAF,2021,9.991608,,5457165.0,
Chad,TCD,2021,10.706548,31.1,17179744.0,
China,CHN,2021,0.69345915,,1425893504.0,
Cote d'Ivoire,CIV,2021,7.4785333,,27478250.0,
Democratic Republic of Congo,COD,2021,7.8960543,,95894120.0,
Djibouti,DJI,2021,5.414123,,1105562.0,
Dominican Republic,DOM,2021,3.3002884,,11117873.0,
Ecuador,ECU,2021,1.2460622,,17797736.0,
Ethiopia,ETH,2021,4.6811466,,120283024.0,
Europe,,2021,0.4408454,,746417727.0,
Ghana,GHA,2021,4.3974524,,32833036.0,
Guyana,GUY,2021,2.767837,,804571.0,
Haiti,HTI,2021,5.8632684,,11447575.0,
India,IND,2021,3.0619214,,1407563904.0,
Indonesia,IDN,2021,2.2173412,,273753184.0,
Iraq,IRQ,2021,2.4521646,,43533592.0,
Kiribati,KIR,2021,4.822911,,128883.0,
Lesotho,LSO,2021,7.2925363,,2281464.0,
Malaysia,MYS,2021,0.75561273,,33573872.0,
Mali,MLI,2021,9.706693,22.1,21904990.0,
Marshall Islands,MHL,2021,2.9727414,,42074.0,
Mexico,MEX,2021,1.3240743,,126705136.0,
Montenegro,MNE,2021,0.22629364,,627856.0,
Morocco,MAR,2021,1.7995571,,37076588.0,
Myanmar,MMR,2021,4.181237,,53798088.0,
Niger,NER,2021,11.515188,44.4,25252722.0,
Nigeria,NGA,2021,11.081927,,213401328.0,
North America,,2021,0.61332315,,597123384.0,
Oceania,,2021,2.0269809,,44492065.0,
Pakistan,PAK,2021,6.333255,,231402112.0,
Paraguay,PRY,2021,1.8157492,,6703802.0,
Peru,PER,2021,1.4122609,,33715464.0,
Portugal,PRT,2021,0.309848,,10290109.0,
Senegal,SEN,2021,3.8599858,,16876726.0,
Sierra Leone,SLE,2021,10.468697,26.3,8420642.0,
South Africa,ZAF,2021,3.2847328,,59392256.0,
South America,,2021,,,434254167.0,
Sri Lanka,LKA,2021,0.6748074,,21773438.0,
Tajikistan,TJK,2021,3.1419,,9750078.0,
Tanzania,TZA,2021,4.7116404,,63588332.0,
Thailand,THA,2021,0.8291029,,71601104.0,
Togo,TGO,2021,6.260445,,8644829.0,
Tunisia,TUN,2021,1.6321344,,12262949.0,
Turkmenistan,TKM,2021,4.1427803,,6341850.0,
United States,USA,2021,0.624298,,336997632.0,
Vietnam,VNM,2021,2.060163,,97468024.0,
Zambia,ZMB,2021,5.769183,,19473132.0,
Zimbabwe,ZWE,2021,4.952197,,15993525.0,
