Entity,Code,Year,Price level ratio of PPP conversion factor (GDP) to market exchange rate
Czechia,CZE,1990,0.30991605
Czechia,CZE,1995,0.4204489
Czechia,CZE,2000,0.37134954
Czechia,CZE,2005,0.6078495
Czechia,CZE,2010,0.7158773
Czechia,CZE,2015,0.52596086
Czechia,CZE,2021,0.5959781
Fiji,FJI,1990,0.43732572
Fiji,FJI,1995,0.5026979
Fiji,FJI,2000,0.3549386
Fiji,FJI,2005,0.49857804
Fiji,FJI,2010,0.46142384
Fiji,FJI,2015,0.43430245
Fiji,FJI,2021,0.40829352
Luxembourg,LUX,1990,1.1179998
Luxembourg,LUX,1995,1.3315572
Luxembourg,LUX,2000,0.88283783
Luxembourg,LUX,2005,1.177361
Luxembourg,LUX,2010,1.2271338
Luxembourg,LUX,2015,0.97777045
Luxembourg,LUX,2021,1.006894
Sint Maarten (Dutch part),SXM,2015,0.8446308
Thailand,THA,1990,0.35035285
Thailand,THA,1995,0.41511673
Thailand,THA,2000,0.27523604
Thailand,THA,2005,0.28203598
Thailand,THA,2010,0.38466394
Thailand,THA,2015,0.36910102
Thailand,THA,2021,0.37664744
