Entity,Code,Year,fertilizer_per_ag_land
Bahrain,BHR,1961,3.4
Bahrain,BHR,1970,4.2
Bahrain,BHR,1980,8.375
Bahrain,BHR,1990,101.142857
Bahrain,BHR,2000,36.416667
Bahrain,BHR,2010,258.72727299999997
Bahrain,BHR,2019,281.909091
Pacific,,1961,8.994753
Pacific,,1970,15.374886
Pacific,,1980,28.56917
Pacific,,1990,37.479972
Pacific,,2000,27.346806
Pacific,,2010,35.603806
Pacific,,2019,41.614689000000006
Taiwan,TWN,1961,161.37470000000002
Taiwan,TWN,1970,235.869159
Taiwan,TWN,1980,408.368375
Taiwan,TWN,1990,499.33156
Taiwan,TWN,2000,499.994318
Taiwan,TWN,2010,349.737255
Taiwan,TWN,2019,400.60161
Uganda,UGA,1961,2.345336
Uganda,UGA,1970,2.869851
Uganda,UGA,1980,3.432954
Uganda,UGA,1990,5.6696539999999995
Uganda,UGA,2000,6.763207
Uganda,UGA,2010,12.040142
Uganda,UGA,2019,13.994946
