Entity,Code,Year,"Current number of cases of latent tuberculosis infection per 100 people, in both sexes aged all ages"
African Region (WHO),,1990,34.190033
African Region (WHO),,1995,33.087185
African Region (WHO),,2000,31.821615
African Region (WHO),,2005,29.534145
African Region (WHO),,2010,27.223846
African Region (WHO),,2015,25.293116
African Region (WHO),,2019,23.091196
Eastern Mediterranean Region (WHO),,1990,28.854322
Eastern Mediterranean Region (WHO),,1995,27.635674
Eastern Mediterranean Region (WHO),,2000,25.631134
Eastern Mediterranean Region (WHO),,2005,23.716639
Eastern Mediterranean Region (WHO),,2010,21.927794
Eastern Mediterranean Region (WHO),,2015,20.025236
Eastern Mediterranean Region (WHO),,2019,18.135527
European Region (WHO),,1990,24.089417
European Region (WHO),,1995,22.949451
European Region (WHO),,2000,21.074049
European Region (WHO),,2005,18.960302
European Region (WHO),,2010,16.618055
European Region (WHO),,2015,14.678559
European Region (WHO),,2019,13.468959
Region of the Americas (WHO),,1990,24.971266
Region of the Americas (WHO),,1995,24.117266
Region of the Americas (WHO),,2000,23.21552
Region of the Americas (WHO),,2005,21.896694
Region of the Americas (WHO),,2010,21.015219
Region of the Americas (WHO),,2015,19.788342
Region of the Americas (WHO),,2019,18.855783
South-East Asia Region (WHO),,1990,32.053463
South-East Asia Region (WHO),,1995,31.454948
South-East Asia Region (WHO),,2000,30.217726
South-East Asia Region (WHO),,2005,28.418304
South-East Asia Region (WHO),,2010,27.56075
South-East Asia Region (WHO),,2015,26.24924
South-East Asia Region (WHO),,2019,26.374525
Western Pacific Region (WHO),,1990,34.065624
Western Pacific Region (WHO),,1995,32.218716
Western Pacific Region (WHO),,2000,34.219334
Western Pacific Region (WHO),,2005,32.84867
Western Pacific Region (WHO),,2010,28.596855
Western Pacific Region (WHO),,2015,31.11334
Western Pacific Region (WHO),,2019,29.945042
