Entity,Code,Year,Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience
Chile,CHL,2009,19982.41
Chile,CHL,2010,21547.195
Chile,CHL,2012,22741.938
Chile,CHL,2014,23199.393
Chile,CHL,2018,29318.08
Chile,CHL,2019,28716.314
Germany,DEU,2012,59795.273
Germany,DEU,2014,61172.46
Germany,DEU,2018,70678.37
Germany,DEU,2019,73554.55
Indonesia,IDN,2010,1855.0254
Norway,NOR,2009,40391.848
Norway,NOR,2010,35990.91
Norway,NOR,2012,38772.656
Norway,NOR,2014,44135.664
Norway,NOR,2018,47386.773
Norway,NOR,2019,48481.445
