Entity,Code,Year,"Literacy rate, adult male (% of total respondents) (DHS Surveys)","Literacy rate, adult male (% of males ages 15 and above)",Population (historical estimates),Continent
Afghanistan,AFG,2018,,,36686788.0,
Africa,,2018,,,1295265310.0,
Asia,,2018,,,4588802751.0,
Bangladesh,BGD,2018,,76.66926,163683952.0,
Benin,BEN,2018,,53.97703,11940688.0,
Burundi,BDI,2018,,,11493476.0,
Cameroon,CMR,2018,,82.62804,25076752.0,
Chad,TCD,2018,,,15604213.0,
Comoros,COM,2018,,64.6442,776322.0,
Congo,COG,2018,,86.07651,5441061.0,
Cote d'Ivoire,CIV,2018,,,25493990.0,
Ethiopia,ETH,2018,,,111129440.0,
Europe,,2018,,,746577709.0,
Gambia,GMB,2018,,,2444916.0,
Ghana,GHA,2018,,83.52458,30870648.0,
Guinea,GIN,2018,,54.43117,12554871.0,
Haiti,HTI,2018,,,11012427.0,
India,IND,2018,,82.36671,1369003264.0,
Indonesia,IDN,2018,,97.33134,267066848.0,
Kenya,KEN,2018,,84.98883,49953300.0,
Lesotho,LSO,2018,,,2198030.0,
Liberia,LBR,2018,,,4889396.0,
Malawi,MWI,2018,,,18367886.0,
Mali,MLI,2018,,46.18414,19934304.0,
Niger,NER,2018,,43.59406,22577060.0,
Nigeria,NGA,2018,,71.25571,198387616.0,
North America,,2018,,,585864285.0,
Pakistan,PAK,2018,,69.27658,219731488.0,
Senegal,SEN,2018,,,15574910.0,
South America,,2018,,,424740741.0,
Tanzania,TZA,2018,,,58090444.0,
Uganda,UGA,2018,,82.65601,41515400.0,
Zambia,ZMB,2018,,90.60118,17835898.0,
