Entity,Code,Year,Wind energy capacity - GW
Guyana,GUY,2000,1.0000001e-05
Guyana,GUY,2005,1.0000001e-05
Guyana,GUY,2010,1.0000001e-05
Guyana,GUY,2015,8.0000005e-05
Guyana,GUY,2020,8.0000005e-05
Guyana,GUY,2022,8.0000005e-05
Israel,ISR,2005,0.006
Israel,ISR,2010,0.006
Israel,ISR,2015,0.006
Israel,ISR,2020,0.027250001
Israel,ISR,2022,0.027250001
Maldives,MDV,2010,0.001407
Maldives,MDV,2015,0.001407
Maldives,MDV,2020,0.001407
Maldives,MDV,2022,0.001407
South Georgia and the South Sandwich Islands,SGS,2000,6e-06
South Georgia and the South Sandwich Islands,SGS,2005,6e-06
South Georgia and the South Sandwich Islands,SGS,2010,6e-06
South Georgia and the South Sandwich Islands,SGS,2015,6e-06
South Georgia and the South Sandwich Islands,SGS,2020,6e-06
South Georgia and the South Sandwich Islands,SGS,2022,6e-06
Spain,ESP,2000,2.206
Spain,ESP,2005,9.918
Spain,ESP,2010,20.693
Spain,ESP,2015,22.943
Spain,ESP,2020,26.819191
Spain,ESP,2022,29.307837
Syria,SYR,2005,0.0006
Syria,SYR,2010,0.0006
Syria,SYR,2015,0.0006
Syria,SYR,2020,0.0006
Syria,SYR,2022,0.0006
