Entity,Code,Year,wom_emp_vdem_owid,electdem_vdem_owid,Population (historical estimates),Continent
Afghanistan,AFG,2022,0.035,0.082,,
Africa,,2022,0.6725536,0.389125,,
Albania,ALB,2022,0.892,0.484,,
Algeria,DZA,2022,0.621,0.281,,
Argentina,ARG,2022,0.876,0.823,,
Asia,,2022,0.60071427,0.33844897,,
Azerbaijan,AZE,2022,0.629,0.188,,
Bangladesh,BGD,2022,0.684,0.274,,
Brazil,BRA,2022,0.728,0.678,,
Burkina Faso,BFA,2022,0.511,0.295,,
China,CHN,2022,0.602,0.075,,
Congo,COG,2022,0.388,0.234,,
Cyprus,CYP,2022,0.826,0.777,,
East Timor,TLS,2022,0.78,0.695,,
Egypt,EGY,2022,0.498,0.175,,
Eritrea,ERI,2022,0.188,0.073,,
Ethiopia,ETH,2022,0.758,0.319,,
Europe,,2022,0.8962195,0.727,,
Georgia,GEO,2022,0.895,0.647,,
Germany,DEU,2022,0.954,0.857,,
Ghana,GHA,2022,0.84,0.633,,
Haiti,HTI,2022,0.326,0.248,,
Hong Kong,HKG,2022,0.817,0.154,,
India,IND,2022,0.678,0.399,,
Indonesia,IDN,2022,0.726,0.574,,
Iran,IRN,2022,0.394,0.182,,
Iraq,IRQ,2022,0.466,0.362,,
Israel,ISR,2022,0.895,0.723,,
Japan,JPN,2022,0.794,0.833,,
Kenya,KEN,2022,0.804,0.522,,
Kuwait,KWT,2022,0.378,0.317,,
Laos,LAO,2022,0.513,0.134,,
Libya,LBY,2022,0.422,0.213,,
Maldives,MDV,2022,0.553,0.583,,
Mexico,MEX,2022,0.773,0.598,,
Myanmar,MMR,2022,0.438,0.093,,
Niger,NER,2022,0.77,0.511,,
Nigeria,NGA,2022,0.694,0.49,,
North America,,2022,0.7744,0.5918667,,
Oceania,,2022,0.73183334,0.6666667,,
Pakistan,PAK,2022,0.581,0.388,,
Papua New Guinea,PNG,2022,0.491,0.458,,
Philippines,PHL,2022,0.815,0.431,,
Poland,POL,2022,0.828,0.574,,
Russia,RUS,2022,0.665,0.209,,
Saudi Arabia,SAU,2022,0.293,0.016,,
Serbia,SRB,2022,0.893,0.361,,
Solomon Islands,SLB,2022,0.623,0.618,,
South Africa,ZAF,2022,0.84,0.692,,
South America,,2022,0.81625,0.65858334,,
Sri Lanka,LKA,2022,0.688,0.575,,
Sudan,SDN,2022,0.311,0.169,,
Togo,TGO,2022,0.784,0.426,,
Tunisia,TUN,2022,0.812,0.307,,
Turkey,TUR,2022,0.552,0.276,,
Ukraine,UKR,2022,0.879,0.406,,
United Arab Emirates,ARE,2022,0.587,0.101,,
United States,USA,2022,0.906,0.819,,
Vanuatu,VUT,2022,0.701,0.771,,
Venezuela,VEN,2022,0.765,0.214,,
Vietnam,VNM,2022,0.723,0.157,,
Yemen,YEM,2022,0.17,0.123,,
