Entity,Code,Year,Wild poliovirus cases
Afghanistan,AFG,2001,11
Afghanistan,AFG,2005,9
Afghanistan,AFG,2010,25
Afghanistan,AFG,2015,20
Afghanistan,AFG,2021,4
India,IND,2001,268
India,IND,2005,66
India,IND,2010,42
India,IND,2015,0
India,IND,2021,0
Malawi,MWI,2001,0
Malawi,MWI,2005,0
Malawi,MWI,2010,0
Malawi,MWI,2015,0
Malawi,MWI,2021,1
Nigeria,NGA,2001,56
Nigeria,NGA,2005,830
Nigeria,NGA,2010,21
Nigeria,NGA,2015,0
Nigeria,NGA,2021,0
Pakistan,PAK,2001,119
Pakistan,PAK,2005,28
Pakistan,PAK,2010,144
Pakistan,PAK,2015,54
Pakistan,PAK,2021,1
