Entity,Code,Year,Hydro (TWh - equivalent)
Bulgaria,BGR,1965,5.9139786
Bulgaria,BGR,1970,6.363441
Bulgaria,BGR,1980,10.9793005
Bulgaria,BGR,1990,5.5532255
Bulgaria,BGR,2000,7.904032
Bulgaria,BGR,2010,14.036102
Bulgaria,BGR,2022,9.8225155
CIS (EI),,1965,240.79947
CIS (EI),,1970,367.78143
CIS (EI),,1980,543.90265
CIS (EI),,1990,624.63025
CIS (EI),,2000,616.32587
CIS (EI),,2010,601.8506
CIS (EI),,2022,645.99445
Hungary,HUN,1965,0.22177416
Hungary,HUN,1970,0.26021498
Hungary,HUN,1980,0.33118275
Hungary,HUN,1990,0.5263442
Hungary,HUN,2000,0.5263442
Hungary,HUN,2010,0.52180886
Hungary,HUN,2022,0.45936668
Iceland,ISL,1965,1.894543
Iceland,ISL,1970,4.1779304
Iceland,ISL,1980,9.028279
Iceland,ISL,1990,12.282446
Iceland,ISL,2000,18.778324
Iceland,ISL,2010,34.950317
Iceland,ISL,2022,36.95804
