Entity,Code,Year,Lung
Argentina,ARG,2004,20.8
Argentina,ARG,2009,11.9
Canada,CAN,1999,15.1
Canada,CAN,2004,15.6
Canada,CAN,2009,17.3
Colombia,COL,1999,6.1
Colombia,COL,2004,9.0
Colombia,COL,2009,9.0
Cyprus,CYP,2004,18.4
Cyprus,CYP,2009,15.4
Denmark,DNK,1999,8.0
Denmark,DNK,2004,9.6
Denmark,DNK,2009,11.3
France,FRA,1999,12.8
France,FRA,2004,13.9
France,FRA,2009,13.6
India,IND,1999,4.4
India,IND,2004,9.8
India,IND,2009,9.6
Netherlands,NLD,1999,12.4
Netherlands,NLD,2004,12.2
Netherlands,NLD,2009,14.8
Poland,POL,1999,11.4
Poland,POL,2004,11.7
Poland,POL,2009,13.4
Saudi Arabia,SAU,1999,21.3
Saudi Arabia,SAU,2004,12.9
South Africa,ZAF,2009,19.0
Sweden,SWE,1999,12.2
Sweden,SWE,2004,13.3
Sweden,SWE,2009,15.6
