Entity,Code,Year,"Share of total deaths that are from all causes attributed to air pollution, in both sexes aged age-standardized"
Armenia,ARM,1990,13.62291
Armenia,ARM,1995,13.853899
Armenia,ARM,2000,13.6505575
Armenia,ARM,2005,12.866895
Armenia,ARM,2010,12.264329
Armenia,ARM,2015,12.025206
Armenia,ARM,2019,11.371826
Croatia,HRV,1990,10.168483
Croatia,HRV,1995,9.663498
Croatia,HRV,2000,8.929992
Croatia,HRV,2005,8.406971
Croatia,HRV,2010,7.461945
Croatia,HRV,2015,6.7485905
Croatia,HRV,2019,6.2461486
Mauritius,MUS,1990,7.532476
Mauritius,MUS,1995,7.2636
Mauritius,MUS,2000,6.968431
Mauritius,MUS,2005,6.922515
Mauritius,MUS,2010,5.986956
Mauritius,MUS,2015,5.6692333
Mauritius,MUS,2019,5.5777016
North Korea,PRK,1990,25.542528
North Korea,PRK,1995,17.275377
North Korea,PRK,2000,18.530426
North Korea,PRK,2005,24.623056
North Korea,PRK,2010,24.03789
North Korea,PRK,2015,23.63286
North Korea,PRK,2019,22.825762
Slovenia,SVN,1990,8.50378
Slovenia,SVN,1995,8.438622
Slovenia,SVN,2000,7.051652
Slovenia,SVN,2005,6.061294
Slovenia,SVN,2010,5.127697
Slovenia,SVN,2015,4.684927
Slovenia,SVN,2019,4.443596
