Entity,Code,Year,DTP3 (% of one-year-olds immunized)
Belgium,BEL,1980,95
Belgium,BEL,1985,95
Belgium,BEL,1990,93
Belgium,BEL,1995,94
Belgium,BEL,2000,95
Belgium,BEL,2005,97
Belgium,BEL,2010,98
Belgium,BEL,2015,99
Belgium,BEL,2021,98
Cape Verde,CPV,1985,39
Cape Verde,CPV,1990,88
Cape Verde,CPV,1995,88
Cape Verde,CPV,2000,90
Cape Verde,CPV,2005,95
Cape Verde,CPV,2010,99
Cape Verde,CPV,2015,93
Cape Verde,CPV,2021,93
Dominican Republic,DOM,1980,36
Dominican Republic,DOM,1985,39
Dominican Republic,DOM,1990,69
Dominican Republic,DOM,1995,72
Dominican Republic,DOM,2000,78
Dominican Republic,DOM,2005,87
Dominican Republic,DOM,2010,88
Dominican Republic,DOM,2015,85
Dominican Republic,DOM,2021,84
Eswatini,SWZ,1985,61
Eswatini,SWZ,1990,89
Eswatini,SWZ,1995,82
Eswatini,SWZ,2000,84
Eswatini,SWZ,2005,86
Eswatini,SWZ,2010,89
Eswatini,SWZ,2015,90
Eswatini,SWZ,2021,77
Tonga,TON,1980,40
Tonga,TON,1985,92
Tonga,TON,1990,94
Tonga,TON,1995,95
Tonga,TON,2000,95
Tonga,TON,2005,99
Tonga,TON,2010,99
Tonga,TON,2015,96
Tonga,TON,2021,99
Turkmenistan,TKM,1995,93
Turkmenistan,TKM,2000,97
Turkmenistan,TKM,2005,99
Turkmenistan,TKM,2010,96
Turkmenistan,TKM,2015,99
Turkmenistan,TKM,2021,97
