Entity,Code,Year,Days of vacation and holidays for full-time production workers in non-agricultural activities (Huberman & Minns 2007)
France,FRA,1870,19.0
France,FRA,1900,23.0
France,FRA,1980,30.0
France,FRA,2000,36.0
Germany,DEU,1870,13.0
Germany,DEU,1900,18.0
Germany,DEU,1980,29.0
Germany,DEU,2000,42.5
Netherlands,NLD,1870,4.0
Netherlands,NLD,1900,5.0
Netherlands,NLD,1980,33.0
Netherlands,NLD,2000,37.5
United Kingdom,GBR,1870,14.0
United Kingdom,GBR,1900,20.0
United Kingdom,GBR,1980,28.0
United Kingdom,GBR,2000,32.5
United States,USA,1870,4.0
United States,USA,1900,5.0
United States,USA,1980,22.0
United States,USA,2000,20.0
