Entity,Code,Year,Area that can be destroyed by nuclear weapons in a first strike
China,CHN,1970,2895.827
China,CHN,1980,14789.734
China,CHN,1990,18077.543
China,CHN,2000,17609.61
China,CHN,2010,8657.445
France,FRA,1960,0.0
France,FRA,1970,285.80276
France,FRA,1980,4035.4468
France,FRA,1990,6390.6714
France,FRA,2000,5995.08
France,FRA,2010,3839.077
India,IND,1990,0.0
India,IND,2000,40.957546
India,IND,2010,305.73325
Pakistan,PAK,1990,0.0
Pakistan,PAK,2000,38.01123
Pakistan,PAK,2010,725.13837
Russia,RUS,1950,0.0
Russia,RUS,1960,37779.51
Russia,RUS,1970,207781.69
Russia,RUS,1980,309459.84
Russia,RUS,1990,327258.78
Russia,RUS,2000,181223.92
Russia,RUS,2010,65307.215
South Africa,ZAF,1990,15.044754
United Kingdom,GBR,1960,1925.9548
United Kingdom,GBR,1970,3383.4917
United Kingdom,GBR,1980,6533.0845
United Kingdom,GBR,1990,387.74814
United Kingdom,GBR,2000,1607.0359
United Kingdom,GBR,2010,1607.0359
United States,USA,1945,7.8856826
United States,USA,1950,1150.1471
United States,USA,1960,557635.6
United States,USA,1970,512747.44
United States,USA,1980,471190.9
United States,USA,1990,290553.25
United States,USA,2000,127688.66
United States,USA,2010,52122.516
