Entity,Code,Year,"Air transport, freight (million ton-km)"
Australia,AUS,1970,234700000.0
Australia,AUS,1980,516500000.0
Australia,AUS,1990,1222300000.0
Australia,AUS,2000,1730735000.0
Australia,AUS,2010,2938314500.0
Australia,AUS,2020,1200644200.0
Botswana,BWA,1990,3100000.0
Botswana,BWA,2000,267000.0
Botswana,BWA,2010,121000.0
Botswana,BWA,2020,0.0
Brazil,BRA,1970,164100000.0
Brazil,BRA,1980,588200000.0
Brazil,BRA,1990,1082000000.0
Brazil,BRA,2000,1727901000.0
Brazil,BRA,2010,1302474600.0
Brazil,BRA,2020,1209706800.0
Chile,CHL,1970,41100000.0
Chile,CHL,1980,144900000.0
Chile,CHL,1990,418500000.0
Chile,CHL,2000,1312011000.0
Chile,CHL,2010,1399549400.0
Chile,CHL,2020,1458395800.0
Egypt,EGY,1970,15300000.0
Egypt,EGY,1980,29400000.0
Egypt,EGY,1990,144000000.0
Egypt,EGY,2000,278061000.0
Egypt,EGY,2010,416985100.0
Egypt,EGY,2020,438908900.0
France,FRA,1970,474600000.0
France,FRA,1980,1985800000.0
France,FRA,1990,3995800000.0
France,FRA,2000,5224340000.0
France,FRA,2010,5079718300.0
France,FRA,2020,2467943000.0
Germany,DEU,1970,484500000.0
Germany,DEU,1980,1506000000.0
Germany,DEU,1990,3994200000.0
Germany,DEU,2000,7127713000.0
Germany,DEU,2010,7487481000.0
Germany,DEU,2020,5454642000.0
Haiti,HTI,1980,1900000.0
Haiti,HTI,1990,3900000.0
Haiti,HTI,2020,0.0
