Entity,Code,Year,Acres burned per fire - comparable data (NIFC)
United States,USA,1983,73
United States,USA,1985,35
United States,USA,1987,34
United States,USA,1989,37
United States,USA,1991,39
United States,USA,1993,31
United States,USA,1995,22
United States,USA,1997,43
United States,USA,1999,61
United States,USA,2001,42
United States,USA,2003,62
United States,USA,2005,130
United States,USA,2007,109
United States,USA,2009,75
United States,USA,2011,118
United States,USA,2013,91
United States,USA,2015,149
United States,USA,2017,140
United States,USA,2020,172
