Entity,Code,Year,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,0.35959464,1968.341,38972236.0,
Africa,,2020,9.446504,,1360677453.0,
Algeria,DZA,2020,3.8147426,10844.7705,43451668.0,
Argentina,ARG,2020,6.804048,19685.217,45036032.0,
Asia,,2020,24.501886,,4663086623.0,
Azerbaijan,AZE,2020,2.0110862,13726.77,10284952.0,
Bangladesh,BGD,2020,26.27421,5591.374,167420944.0,
Belarus,BLR,2020,11.623149,19225.574,9633745.0,
Belize,BLZ,2020,13.35062,7703.118,394931.0,
Benin,BEN,2020,15.552987,3186.478,12643121.0,
Brazil,BRA,2020,8.055862,14021.958,213196304.0,
Burkina Faso,BFA,2020,8.663307,2093.7336,21522632.0,
Burundi,BDI,2020,2.5299058,711.3553,12220229.0,
Cameroon,CMR,2020,19.179571,3665.5105,26491090.0,
Cape Verde,CPV,2020,10.305901,5768.5386,582646.0,
Chad,TCD,2020,6.5132217,1489.1868,16644707.0,
Chile,CHL,2020,14.6291,23017.69,19300318.0,
China,CHN,2020,40.333355,16296.779,1424929792.0,
Congo,COG,2020,23.670317,3384.6543,5702183.0,
Democratic Republic of Congo,COD,2020,4.022168,1044.0712,92853168.0,
Ecuador,ECU,2020,8.24545,10356.975,17588596.0,
Egypt,EGY,2020,25.796637,11380.847,107465128.0,
El Salvador,SLV,2020,6.7410684,8267.251,6292734.0,
Ethiopia,ETH,2020,0.5297368,2253.2358,117190920.0,
Europe,,2020,21.772507,,747462669.0,
European Union (27),,2020,23.602509,41805.996,445290493.0,
Germany,DEU,2020,12.658737,51840.33,83328992.0,
Guinea-Bissau,GNB,2020,1.1422341,1803.6306,2015839.0,
Hong Kong,HKG,2020,65.78512,55888.688,7500955.0,
India,IND,2020,7.886377,6114.0317,1396387072.0,
Indonesia,IDN,2020,44.712276,11515.74,271857984.0,
Iran,IRN,2020,12.143301,14432.362,87290192.0,
Iraq,IRQ,2020,2.9184074,8919.798,42556988.0,
Ireland,IRL,2020,22.521992,91099.75,4946123.0,
Japan,JPN,2020,46.654346,39935.465,125244760.0,
Kazakhstan,KAZ,2020,2.7305465,25361.508,18979250.0,
Kenya,KEN,2020,2.9789176,4498.383,51985780.0,
Kiribati,KIR,2020,69.22023,1944.8469,126473.0,
Low-income countries,,2020,5.259969,1970.1681,680258922.0,
Lower-middle-income countries,,2020,14.936611,6930.9463,3369707355.0,
Luxembourg,LUX,2020,31.467758,111751.31,630401.0,
Malawi,MWI,2020,10.010689,1489.6014,19377058.0,
Malaysia,MYS,2020,53.32593,25830.973,33199988.0,
Maldives,MDV,2020,87.30368,13419.335,514451.0,
Mongolia,MNG,2020,0.56722295,11666.779,3294340.0,
Mozambique,MOZ,2020,13.463253,1232.9856,31178242.0,
Myanmar,MMR,2020,45.851414,4947.0938,53423200.0,
Niger,NER,2020,1.8502922,1214.5465,24333644.0,
Nigeria,NGA,2020,6.679113,4865.087,208327408.0,
North America,,2020,18.27674,,594263186.0,
Norway,NOR,2020,50.566196,63548.0,5379836.0,
Oceania,,2020,22.35466,,43933757.0,
Pakistan,PAK,2020,1.5847697,5004.352,227196736.0,
Poland,POL,2020,12.271371,32546.826,38428368.0,
Romania,ROU,2020,8.232551,29062.473,19442040.0,
Russia,RUS,2020,21.757278,26583.797,145617328.0,
Saint Lucia,LCA,2020,34.44247,11651.167,179245.0,
Sierra Leone,SLE,2020,24.704111,1586.196,8233973.0,
South Africa,ZAF,2020,6.515673,12815.909,58801928.0,
South America,,2020,9.761647,,431530105.0,
Sudan,SDN,2020,1.1248338,3874.8003,44440484.0,
Sweden,SWE,2020,31.342962,51331.28,10368968.0,
Tajikistan,TJK,2020,0.65961546,3651.9421,9543211.0,
Togo,TGO,2020,11.463107,2066.9707,8442583.0,
Tunisia,TUN,2020,13.653629,10050.046,12161720.0,
Turkey,TUR,2020,5.5333605,28473.205,84135432.0,
Turkmenistan,TKM,2020,2.7114358,,6250442.0,
Uganda,UGA,2020,14.771578,2240.4902,44404608.0,
United Kingdom,GBR,2020,18.130749,41984.105,67059472.0,
Upper-middle-income countries,,2020,28.471447,17017.123,2541463877.0,
Uruguay,URY,2020,9.258993,21828.64,3429087.0,
Uzbekistan,UZB,2020,4.023093,7344.22,33526662.0,
World,OWID_WRL,2020,20.250551,16175.776,7840952832.0,
Zambia,ZMB,2020,12.684813,3183.651,18927716.0,
Zimbabwe,ZWE,2020,2.8170915,1990.3195,15669663.0,
