Entity,Code,Year,Solar and wind - % electricity
Australia,AUS,1990,0.0
Australia,AUS,1995,0.016065106
Australia,AUS,2000,0.08301434
Australia,AUS,2005,0.59807575
Australia,AUS,2010,2.3787704
Australia,AUS,2015,7.098704
Australia,AUS,2020,17.513762
Australia,AUS,2022,25.768599
China,CHN,1985,0.0
China,CHN,1990,0.00064716703
China,CHN,1995,0.06188114
China,CHN,2000,0.044998523
China,CHN,2005,0.081191555
China,CHN,2010,1.190827
China,CHN,2015,3.870787
China,CHN,2020,9.353303
China,CHN,2022,13.453004
Denmark,DNK,1990,2.34796
Denmark,DNK,1995,3.211758
Denmark,DNK,2000,11.777777
Denmark,DNK,2005,18.244549
Denmark,DNK,2010,20.118343
Denmark,DNK,2015,50.916004
Denmark,DNK,2020,60.946747
Denmark,DNK,2022,60.807674
Germany,DEU,1990,0.012801288
Germany,DEU,1995,0.32281676
Germany,DEU,2000,1.6537496
Germany,DEU,2005,4.752712
Germany,DEU,2010,8.074125
Germany,DEU,2015,18.687275
Germany,DEU,2020,32.092808
Germany,DEU,2022,32.98903
Greece,GRC,1990,0.0
Greece,GRC,1995,0.07263923
Greece,GRC,2000,0.8423812
Greece,GRC,2005,2.136968
Greece,GRC,2010,5.001743
Greece,GRC,2015,16.438356
Greece,GRC,2020,28.571428
Greece,GRC,2022,33.180515
Namibia,NAM,2000,0.0
Namibia,NAM,2005,0.0
Namibia,NAM,2010,0.7692308
Namibia,NAM,2015,2.5641026
Namibia,NAM,2020,20.0
Netherlands,NLD,1985,0.0
Netherlands,NLD,1990,0.08356546
Netherlands,NLD,1995,0.39564788
Netherlands,NLD,2000,0.93970245
Netherlands,NLD,2005,2.1167736
Netherlands,NLD,2010,3.4002185
Netherlands,NLD,2015,7.9595585
Netherlands,NLD,2020,19.416843
Netherlands,NLD,2022,31.983505
Portugal,PRT,1985,0.0
Portugal,PRT,1990,0.0
Portugal,PRT,1995,0.06033182
Portugal,PRT,2000,0.39188564
Portugal,PRT,2005,3.832828
Portugal,PRT,2010,17.489292
Portugal,PRT,2015,24.190403
Portugal,PRT,2020,27.202173
Portugal,PRT,2022,34.796505
Spain,ESP,1985,0.0
Spain,ESP,1990,0.013226638
Spain,ESP,1995,0.17512077
Spain,ESP,2000,2.1455731
Spain,ESP,2005,7.463264
Spain,ESP,2010,17.25977
Spain,ESP,2015,22.77003
Spain,ESP,2020,29.688522
Spain,ESP,2022,33.219948
Sweden,SWE,1985,0.0043750913
Sweden,SWE,1990,0.006850254
Sweden,SWE,1995,0.06743998
Sweden,SWE,2000,0.31673896
Sweden,SWE,2005,0.5872695
Sweden,SWE,2010,2.3576963
Sweden,SWE,2015,10.135802
Sweden,SWE,2020,17.444132
Sweden,SWE,2022,20.713083
United States,USA,1985,0.0006231329
United States,USA,1990,0.0986013
United States,USA,1995,0.10401856
United States,USA,2000,0.15991162
United States,USA,2005,0.45501968
United States,USA,2010,2.3301263
United States,USA,2015,5.625626
United States,USA,2020,11.591372
United States,USA,2022,14.914705
