Entity,Code,Year,"16.1.3 - Proportion of population subjected to physical violence in the previous 12 months, by sex (%) - VC_VOV_PHYL - Male","16.1.3 - Proportion of population subjected to physical violence in the previous 12 months, by sex (%) - VC_VOV_PHYL - Female",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Argentina,ARG,2021,,,45276788.0,
Asia,,2021,,,4693332132.0,
Brazil,BRA,2021,,,214326224.0,
Cape Verde,CPV,2021,,,587936.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,,,83408560.0,
Italy,ITA,2021,,,59240336.0,
Mexico,MEX,2021,7.53,5.51,126705136.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
South America,,2021,,,434254167.0,
Thailand,THA,2021,,,71601104.0,
Uganda,UGA,2021,,,45853780.0,
