Entity,Code,Year,"Deaths that are from all causes attributed to no access to handwashing facility, in both sexes aged all ages"
East Asia & Pacific (WB),,1990,139030.66
East Asia & Pacific (WB),,1995,103501.61
East Asia & Pacific (WB),,2000,73411.61
East Asia & Pacific (WB),,2005,56563.785
East Asia & Pacific (WB),,2010,47363.418
East Asia & Pacific (WB),,2015,42074.61
East Asia & Pacific (WB),,2019,38061.12
Europe & Central Asia (WB),,1990,12788.058
Europe & Central Asia (WB),,1995,11406.189
Europe & Central Asia (WB),,2000,8984.2
Europe & Central Asia (WB),,2005,7107.072
Europe & Central Asia (WB),,2010,5879.2173
Europe & Central Asia (WB),,2015,5694.71
Europe & Central Asia (WB),,2019,5329.317
Latin America & Caribbean (WB),,1990,43999.69
Latin America & Caribbean (WB),,1995,32112.258
Latin America & Caribbean (WB),,2000,23530.77
Latin America & Caribbean (WB),,2005,19719.084
Latin America & Caribbean (WB),,2010,18431.293
Latin America & Caribbean (WB),,2015,18145.332
Latin America & Caribbean (WB),,2019,17886.19
Middle East & North Africa (WB),,1990,24388.482
Middle East & North Africa (WB),,1995,18267.902
Middle East & North Africa (WB),,2000,14099.787
Middle East & North Africa (WB),,2005,10958.246
Middle East & North Africa (WB),,2010,8788.685
Middle East & North Africa (WB),,2015,6866.945
Middle East & North Africa (WB),,2019,6088.2266
North America (WB),,1990,859.5173
North America (WB),,1995,954.5101
North America (WB),,2000,944.3621
North America (WB),,2005,939.8756
North America (WB),,2010,947.4297
North America (WB),,2015,1024.3658
North America (WB),,2019,1105.9954
South Asia (WB),,1990,489443.75
South Asia (WB),,1995,445296.97
South Asia (WB),,2000,401039.06
South Asia (WB),,2005,346146.88
South Asia (WB),,2010,309066.4
South Asia (WB),,2015,246867.56
South Asia (WB),,2019,218769.47
Sub-Saharan Africa (WB),,1990,489016.06
Sub-Saharan Africa (WB),,1995,506036.28
Sub-Saharan Africa (WB),,2000,498676.3
Sub-Saharan Africa (WB),,2005,455819.7
Sub-Saharan Africa (WB),,2010,418948.1
Sub-Saharan Africa (WB),,2015,378622.06
Sub-Saharan Africa (WB),,2019,340341.12
