Entity,Code,Year,Electricity from fossil fuels - TWh
Bhutan,BTN,2000,0.0
Bhutan,BTN,2005,0.0
Bhutan,BTN,2010,0.0
Bhutan,BTN,2015,0.0
Bhutan,BTN,2020,0.0
Bolivia,BOL,2000,1.81
Bolivia,BOL,2005,2.71
Bolivia,BOL,2010,4.19
Bolivia,BOL,2015,5.99
Bolivia,BOL,2020,6.13
Bolivia,BOL,2022,7.04
Kiribati,KIR,2000,0.01
Kiribati,KIR,2005,0.02
Kiribati,KIR,2010,0.02
Kiribati,KIR,2015,0.02
Kiribati,KIR,2020,0.03
Martinique,MTQ,2000,1.05
Martinique,MTQ,2005,1.4
Martinique,MTQ,2010,1.52
Martinique,MTQ,2015,0.0
Martinique,MTQ,2020,0.0
Middle East (EI),,1985,173.0264
Middle East (EI),,1990,242.89171
Middle East (EI),,1995,335.72015
Middle East (EI),,2000,467.38382
Middle East (EI),,2005,634.3536
Middle East (EI),,2010,874.84766
Middle East (EI),,2015,1111.5952
Middle East (EI),,2020,1242.938
Middle East (EI),,2022,1298.8551
South Sudan,SSD,2015,0.54
South Sudan,SSD,2020,0.53
