Entity,Code,Year,consumption_energy_intensity
China,CHN,1995,3.91929642
China,CHN,2000,2.775851143
China,CHN,2005,2.440131014
China,CHN,2010,2.168273953
China,CHN,2015,1.775261517
China,CHN,2020,1.758781841
France,FRA,1995,1.443496473
France,FRA,2000,1.370310321
France,FRA,2005,1.404539544
France,FRA,2010,1.293255565
France,FRA,2015,1.196055012
France,FRA,2020,1.236905079
India,IND,1995,2.041287916
India,IND,2000,1.767448199
India,IND,2005,1.562641281
India,IND,2010,1.5401268
India,IND,2015,1.431098153
India,IND,2020,1.721487417
Sweden,SWE,1995,1.899326899
Sweden,SWE,2000,1.71524898
Sweden,SWE,2005,1.490529984
Sweden,SWE,2010,1.266830494
Sweden,SWE,2015,1.155500953
Sweden,SWE,2020,1.103239518
United Kingdom,GBR,1995,1.508053256
United Kingdom,GBR,2000,1.436807711
United Kingdom,GBR,2005,1.352835513
United Kingdom,GBR,2010,1.118832734
United Kingdom,GBR,2015,1.131218903
United Kingdom,GBR,2020,1.111695986
United States,USA,1995,2.173890252
United States,USA,2000,2.014228005
United States,USA,2005,1.919433712
United States,USA,2010,1.673689113
United States,USA,2015,1.555270339
United States,USA,2020,1.622860142
