Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Population (historical estimates),Continent
Afghanistan,AFG,1960,35.73006,8622473.0,
Afghanistan,AFG,2021,5.565748,40099460.0,
Africa,,1960,,284288223.0,
Africa,,2021,,1393676724.0,
Asia,,1960,,1698939691.0,
Asia,,2021,,4693332132.0,
Bangladesh,BGD,1960,26.203705,50396428.0,
Bangladesh,BGD,2021,2.727363,169356240.0,
Benin,BEN,1960,30.922873,2512290.0,
Benin,BEN,2021,8.352425,12996901.0,
Brazil,BRA,1960,16.957706,73092520.0,
Brazil,BRA,2021,1.4410983,214326224.0,
Burkina Faso,BFA,1960,34.597424,4783261.0,
Burkina Faso,BFA,2021,8.260758,22100690.0,
Cameroon,CMR,1960,27.85673,5117606.0,
Cameroon,CMR,2021,6.9788027,27198632.0,
Colombia,COL,1960,13.493588,15687692.0,
Colombia,COL,2021,1.2848155,51516560.0,
Egypt,EGY,1960,31.779888,27034500.0,
Egypt,EGY,2021,1.8957832,109262184.0,
El Salvador,SLV,1960,18.481989,2779332.0,
El Salvador,SLV,2021,1.2426689,6314165.0,
Europe,,1960,,606215982.0,
Europe,,2021,0.4408454,746417727.0,
Ghana,GHA,1960,20.826265,6911514.0,
Ghana,GHA,2021,4.3974524,32833036.0,
Haiti,HTI,1960,29.03989,3901147.0,
Haiti,HTI,2021,5.8632684,11447575.0,
India,IND,1960,24.279396,445954560.0,
India,IND,2021,3.0619214,1407563904.0,
Indonesia,IDN,1960,22.387625,88382888.0,
Indonesia,IDN,2021,2.2173412,273753184.0,
Italy,ITA,1960,5.2005444,49517708.0,
Italy,ITA,2021,0.261415,59240336.0,
Japan,JPN,1960,3.968713,94464840.0,
Japan,JPN,2021,0.23023768,124612528.0,
Kenya,KEN,1960,19.717255,7751440.0,
Kenya,KEN,2021,3.7152622,53005616.0,
Mexico,MEX,1960,15.515816,36268048.0,
Mexico,MEX,2021,1.3240743,126705136.0,
North America,,1960,,264916376.0,
North America,,2021,0.61332315,597123384.0,
Oceania,,1960,,15859743.0,
Oceania,,2021,2.0269809,44492065.0,
Oman,OMN,1960,37.01866,536556.0,
Oman,OMN,2021,1.013952,4520474.0,
Pakistan,PAK,1960,25.187794,45954228.0,
Pakistan,PAK,2021,6.333255,231402112.0,
Philippines,PHL,1960,10.211579,28486868.0,
Philippines,PHL,2021,2.5739532,113880336.0,
Poland,POL,1960,6.5331297,29509902.0,
Poland,POL,2021,0.43466052,38307724.0,
Romania,ROU,1960,8.691897,18458012.0,
Romania,ROU,2021,0.6426879,19328558.0,
Sierra Leone,SLE,1960,39.023438,2301315.0,
Sierra Leone,SLE,2021,10.468697,8420642.0,
South America,,1960,,149224306.0,
South America,,2021,,434254167.0,
South Korea,KOR,1960,11.190193,25817530.0,
South Korea,KOR,2021,0.28881985,51830136.0,
Tanzania,TZA,1960,24.176218,10042467.0,
Tanzania,TZA,2021,4.7116404,63588332.0,
Thailand,THA,1960,14.652412,26596590.0,
Thailand,THA,2021,0.8291029,71601104.0,
United States,USA,1960,3.0053878,176188576.0,
United States,USA,2021,0.624298,336997632.0,
Yemen,YEM,1960,42.911354,5542460.0,
Yemen,YEM,2021,6.190894,32981644.0,
