Entity,Code,Year,Share of waste incinerated from total regional waste
Americas (excl. USA),,2000,1.2200574
Americas (excl. USA),,2019,1.1592599
Asia (excl. China and India),,2000,10.439383
Asia (excl. China and India),,2019,18.513683
China,CHN,2000,8.821573
China,CHN,2019,23.762764
Europe,,2000,14.542094
Europe,,2019,37.74739
India,IND,2000,1.6886452
India,IND,2019,4.1608157
Middle East & North Africa,,2000,0.4083155
Middle East & North Africa,,2019,0.6075314
Oceania,,2000,9.345559
Oceania,,2019,11.508256
