Entity,Code,Year,Hours per week spent in market and non-market work (Aguiar and Hurst (2006))
Core Market Work (Total),,1965,28.25
Core Market Work (Total),,1975,27.37
Core Market Work (Total),,1985,27.29
Core Market Work (Total),,2003,29.82
Core Market Work Plus Total Non Market Work (Men),,1965,51.84
Core Market Work Plus Total Non Market Work (Men),,1975,49.46
Core Market Work Plus Total Non Market Work (Men),,1985,49.36
Core Market Work Plus Total Non Market Work (Men),,2003,49.53
Total Market Work Plus Total Non Market Work (Men),,1965,61.2
Total Market Work Plus Total Non Market Work (Men),,1975,56.07
Total Market Work Plus Total Non Market Work (Men),,1985,55.55
Total Market Work Plus Total Non Market Work (Men),,2003,53.6
Total Non Market Work (Women),,1965,34.8
Total Non Market Work (Women),,1975,29.0
Total Non Market Work (Women),,1985,26.26
Total Non Market Work (Women),,2003,22.21
