Entity,Code,Year,17.1.1 - Total government revenue (budgetary central government) as a proportion of GDP (%) - GR_G14_GDP
Latin America and the Caribbean (UN),,2000,28.64
Latin America and the Caribbean (UN),,2005,23.54
Latin America and the Caribbean (UN),,2010,25.49
Latin America and the Caribbean (UN),,2015,24.5
Latin America and the Caribbean (UN),,2021,23.5
Northern Africa (UN),,2000,28.55
Northern Africa (UN),,2005,29.85
Northern Africa (UN),,2010,26.61
Northern Africa (UN),,2015,18.91
Northern Africa (UN),,2021,24.18
Sub-Saharan Africa (UN),,2000,21.23
Sub-Saharan Africa (UN),,2005,21.72
Sub-Saharan Africa (UN),,2010,23.81
Sub-Saharan Africa (UN),,2015,21.88
Sub-Saharan Africa (UN),,2021,22.93
World,OWID_WRL,2000,29.7
World,OWID_WRL,2005,28.7
World,OWID_WRL,2010,32.22
World,OWID_WRL,2015,30.93
World,OWID_WRL,2021,32.84
