Entity,Code,Year,Richest decile - Share (Pretax) (Estimated),Gini coefficient (Pretax) (Estimated),Population (historical estimates),Continent
Afghanistan,AFG,2021,,,40099460.0,
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Brazil,BRA,2021,,,214326224.0,
Chile,CHL,2021,,,19493184.0,
China,CHN,2021,,,1425893504.0,
Colombia,COL,2021,,,51516560.0,
Czechia,CZE,2021,,,10510748.0,
Ecuador,ECU,2021,,,17797736.0,
Egypt,EGY,2021,,,109262184.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,,,64531448.0,
Germany,DEU,2021,,,83408560.0,
Ghana,GHA,2021,,,32833036.0,
Iran,IRN,2021,,,87923432.0,
Maldives,MDV,2021,,,521469.0,
Mexico,MEX,2021,,,126705136.0,
Netherlands,NLD,2021,,,17501696.0,
North America,,2021,,,597123384.0,
North Macedonia,MKD,2021,,,2103329.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,,,231402112.0,
Peru,PER,2021,,,33715464.0,
Russia,RUS,2021,,,145102752.0,
Rwanda,RWA,2021,,,13461891.0,
Slovakia,SVK,2021,,,5447621.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,,,51830136.0,
Tanzania,TZA,2021,,,63588332.0,
Turkey,TUR,2021,,,84775408.0,
United Kingdom,GBR,2021,,,67281040.0,
United States,USA,2021,45.6,0.577273,336997632.0,
Zimbabwe,ZWE,2021,,,15993525.0,
