Entity,Code,Year,Terrorist attacks
Azerbaijan,AZE,2000,1
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2021,0
Falkland Islands,FLK,1970,0
Falkland Islands,FLK,1980,0
Falkland Islands,FLK,1990,0
Falkland Islands,FLK,2000,0
Falkland Islands,FLK,2010,0
Falkland Islands,FLK,2021,0
Middle East & North Africa,,1970,28
Middle East & North Africa,,1980,437
Middle East & North Africa,,1990,494
Middle East & North Africa,,2000,272
Middle East & North Africa,,2010,1463
Middle East & North Africa,,2021,1262
Russia,RUS,2000,138
Russia,RUS,2010,251
Russia,RUS,2021,0
