Entity,Code,Year,Tuberculosis patients living with HIV receiving ART - Disaggregation: Total
Burkina Faso,BFA,2006,287
Burkina Faso,BFA,2008,489
Burkina Faso,BFA,2010,503
Burkina Faso,BFA,2012,531
Burkina Faso,BFA,2020,360
Burkina Faso,BFA,2021,367
Burkina Faso,BFA,2014,564
Burkina Faso,BFA,2016,403
Burkina Faso,BFA,2018,448
Montserrat,MSR,2003,1
Montserrat,MSR,2004,1
Montserrat,MSR,2010,0
Montserrat,MSR,2012,0
Montserrat,MSR,2016,0
Montserrat,MSR,2018,0
Nicaragua,NIC,2008,28
Nicaragua,NIC,2010,40
Nicaragua,NIC,2016,99
Nicaragua,NIC,2018,94
Nicaragua,NIC,2020,103
Nicaragua,NIC,2003,0
Nicaragua,NIC,2006,0
Nicaragua,NIC,2012,105
Nicaragua,NIC,2014,78
Nicaragua,NIC,2021,97
Occupied Palestinian Territory,,2003,0
Occupied Palestinian Territory,,2004,0
Occupied Palestinian Territory,,2006,0
Occupied Palestinian Territory,,2008,0
Occupied Palestinian Territory,,2010,0
Occupied Palestinian Territory,,2012,0
Occupied Palestinian Territory,,2014,0
Occupied Palestinian Territory,,2016,0
Occupied Palestinian Territory,,2018,0
Occupied Palestinian Territory,,2020,0
Occupied Palestinian Territory,,2021,0
Turks and Caicos Islands,TCA,2006,0
Turks and Caicos Islands,TCA,2010,1
Turks and Caicos Islands,TCA,2012,1
Turks and Caicos Islands,TCA,2014,1
Turks and Caicos Islands,TCA,2016,1
Turks and Caicos Islands,TCA,2018,0
