Entity,Code,Year,17.4.1 - Debt service as a proportion of exports of goods and services (%) - DT_TDS_DECT
Angola,AGO,1990,7.07
Angola,AGO,2000,20.62
Angola,AGO,2010,4.45
Angola,AGO,2021,26.28
Cote d'Ivoire,CIV,1975,8.64
Cote d'Ivoire,CIV,1980,23.91
Cote d'Ivoire,CIV,1990,19.06
Cote d'Ivoire,CIV,2000,15.85
Cote d'Ivoire,CIV,2010,3.97
Cote d'Ivoire,CIV,2021,9.41
Ethiopia,ETH,1980,6.34
Ethiopia,ETH,1990,37.65
Ethiopia,ETH,2000,13.63
Ethiopia,ETH,2010,3.78
Ethiopia,ETH,2021,21.0
Nepal,NPL,1980,1.97
Nepal,NPL,1990,14.53
Nepal,NPL,2000,7.4
Nepal,NPL,2010,10.41
Nepal,NPL,2021,9.18
