Entity,Code,Year,Homeless
All disasters,,1900,0
All disasters,,1905,20100
All disasters,,1910,0
All disasters,,1915,0
All disasters,,1920,0
All disasters,,1925,17628
All disasters,,1930,25551
All disasters,,1935,239535
All disasters,,1940,65730
All disasters,,1945,23663
All disasters,,1950,40000
All disasters,,1955,378377
All disasters,,1960,2250
All disasters,,1965,5156414
All disasters,,1970,567090
All disasters,,1975,7084428
All disasters,,1980,2704879
All disasters,,1985,2089943
All disasters,,1990,1886098
All disasters,,1995,5846375
All disasters,,2000,1766425
All disasters,,2005,6266457
All disasters,,2010,2423997
All disasters,,2015,622992
All disasters,,2023,22653
