Entity,Code,Year,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
Cote d'Ivoire,CIV,2000,6.13
Cote d'Ivoire,CIV,2005,5.01
Cote d'Ivoire,CIV,2010,4.42
Cote d'Ivoire,CIV,2015,3.22
Cote d'Ivoire,CIV,2021,3.13
Cyprus,CYP,2000,5.31
Cyprus,CYP,2005,5.44
Cyprus,CYP,2010,6.5
Cyprus,CYP,2015,6.79
Cyprus,CYP,2021,9.43
Greece,GRC,2000,7.24
Greece,GRC,2005,8.56
Greece,GRC,2010,9.6
Greece,GRC,2015,8.22
Greece,GRC,2021,9.17
Ireland,IRL,2000,5.9
Ireland,IRL,2005,7.64
Ireland,IRL,2010,10.52
Ireland,IRL,2015,7.34
Ireland,IRL,2021,6.72
Mauritania,MRT,2000,3.38
Mauritania,MRT,2005,3.4
Mauritania,MRT,2010,2.64
Mauritania,MRT,2015,3.67
Mauritania,MRT,2021,4.12
Norway,NOR,2000,7.7
Norway,NOR,2005,8.3
Norway,NOR,2010,8.86
Norway,NOR,2015,10.07
Norway,NOR,2021,9.92
Sao Tome and Principe,STP,2000,10.52
Sao Tome and Principe,STP,2005,11.55
Sao Tome and Principe,STP,2010,6.86
Sao Tome and Principe,STP,2015,5.34
Sao Tome and Principe,STP,2021,7.83
Uruguay,URY,2000,9.21
Uruguay,URY,2005,7.76
Uruguay,URY,2010,7.91
Uruguay,URY,2015,8.29
Uruguay,URY,2021,9.36
