Entity,Code,Year,Gini coefficient of lifespan inequality - Sex: female
Chile,CHL,1950,0.27201244
Chile,CHL,2000,0.09192529
Chile,CHL,2021,0.09319603
France,FRA,1850,0.39780498
France,FRA,1900,0.36283204
France,FRA,1950,0.15738486
France,FRA,2000,0.084402815
France,FRA,2021,0.07810822
India,IND,1950,0.4368551
India,IND,2000,0.21825348
India,IND,2021,0.14249314
Japan,JPN,1950,0.22599632
Japan,JPN,2000,0.07992846
Japan,JPN,2021,0.06931109
Kenya,KEN,1950,0.44626287
Kenya,KEN,2000,0.2652059
Kenya,KEN,2021,0.18939099
Nigeria,NGA,1950,0.47485158
Nigeria,NGA,2000,0.35045585
Nigeria,NGA,2021,0.28744233
South Korea,KOR,1950,0.5074331
South Korea,KOR,2000,0.09163841
South Korea,KOR,2021,0.06778079
Sweden,SWE,1751,0.44588384
Sweden,SWE,1800,0.5123412
Sweden,SWE,1850,0.35963297
Sweden,SWE,1900,0.30930084
Sweden,SWE,1950,0.1170097
Sweden,SWE,2000,0.08090743
Sweden,SWE,2021,0.073177576
